Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
Canterbury,2.9,2.6,3.4,1.8
Chaplin,4.2,3.1,4.3,2.3
Eastford,5.5,3.3,3,1.4
Hampton,6.5,3.7,3.3,1.7
Killingly,10.3,2.6,11.1,3
Plainfield,8.8,2.7,7.7,2.2
Pomfret,6.3,5.5,3.9,2.9
Putnam,16,4.3,8,2.9
Scotland,1.1,0.8,3.4,2
Sterling,11.8,6.1,8.2,7.1
Thompson,7.5,3.3,5.6,2.3
Windham,24.6,2.9,25.5,3
Woodstock,4.7,2.6,6,4.7
101.01,3.5,2.3,10.4,5.8
101.02,1.8,1.6,7.5,3.6
102.01,3.3,2.4,9.1,4.4
102.02,3.2,1.7,5.5,2.6
103,2,1.6,3.2,2.2
104,2.8,2.3,6.6,3.9
105,9.3,5.8,7.9,4.8
106,11,7.3,5,2.5
107,6.4,3.2,8.2,3.5
108,3.9,2.1,6.2,3.8
109,3.2,2.3,5.8,2.5
110,0.3,0.4,4.8,2.7
111,2,1.6,2.2,1.9
112,1.6,1.5,7.9,4.6
113,7.6,4.3,10.7,4.8
201,28.2,11.6,15.5,4.1
202,3.6,3.4,3.8,2.2
203,1.1,0.7,2.5,1.6
204,1.6,1.7,3,2
205,1.5,1.1,1.4,1
206,3,1.7,0.9,0.6
207,2.5,1.6,3.2,2.5
208,3.5,3.6,0.8,0.9
209,8.9,5.3,6.8,3.5
210,1.9,1.8,5.2,3.6
211,10.7,3.5,8,4.9
212,2.5,2,1.3,1
213,6.7,5.5,4.4,2.6
214,14.1,6.5,17.5,8.4
215,23.5,8.5,20.8,5.2
216,8.7,4.6,14.7,8.2
217,16,5.8,14.2,5.2
218.01,12.2,9.1,10.6,6.6
218.02,11.3,7.2,7.7,5
219,15.5,5.5,7.2,4.5
220,12,7.8,4.6,2.3
221,16,6.8,11.3,4.3
222,23.2,7.2,23.8,5.9
223,19.5,6.6,15.2,6.6
224,0.5,0.5,4.1,3.1
301,1.5,1.4,3.2,2.6
302,5.5,4.2,8.6,6.5
303,9.2,7.6,1.3,0.9
304,5.4,5.4,3.2,2.6
305,4.1,2.6,3.1,2.7
351,4.1,2.8,4,2.2
352,0.9,1,3.1,2.6
353,1.7,1.6,1.7,1.8
354,0.6,0.5,5,2.8
425,0.8,0.7,5.4,3.5
426,4.1,2.9,2.4,1.4
427,4.7,4.4,3.2,2.7
428,1.9,1.4,9.5,5.7
429,2.7,3.4,4,3.6
430,4.7,2.8,3.7,2.1
431,1.6,1.2,6.5,4.2
432,9.4,5.5,5.4,4
433,6.7,6.7,6.7,4.4
434,12.1,5,12,4.8
435,3.9,2.4,3.9,2.2
436,1,1.2,7.3,3.9
437,26.7,10.2,24.2,10.3
438,11.2,5,8.2,4.9
439,4,3.8,5,3.3
440,27.8,9.9,18.5,7.5
441,28.2,10.9,18.9,7
442,8.6,5.2,10.1,5.3
443,4.7,2.7,6.9,3.2
444,21.2,10.5,22.4,8.4
445,28.8,12.5,14.6,8.8
446,2.5,2.3,3.5,2.1
451.01,1.8,1.5,2.4,3
451.02,1.8,1,6.7,4.1
452,5.7,4.9,2.2,1.4
453,4.7,4.4,2.9,2
454,0.3,0.5,1.1,1
501,1.5,0.9,2.3,1.6
502,1.5,1,1.9,1.4
503,4.8,2.8,2.7,1.9
504,4.7,3.5,6.9,3.9
505,5.6,3,8.5,3.3
506,2.9,2.1,5.3,3.7
551,3.1,2.3,2.5,1.6
552,2.3,1.6,2.9,2
601,0.7,1,3.2,2.8
602,2.3,2.1,2.8,2
603,2,2.9,0.6,0.9
604,2.1,1.5,7.6,6.3
605,1.4,2,1.6,1.2
606,6.4,5.9,4.1,2.6
607,5.6,3,1.4,1.1
608,1,1,2.2,1.4
609,0.6,0.8,1.9,1.1
610,8.3,3.7,9.4,5.7
611,4.2,2.6,3.4,2
612,2.6,1.9,10.2,5.3
613,5.1,2.9,13.6,8.8
614,17.5,10.4,4.5,2.4
615,4.8,3.1,9.1,5
616,1.8,2.1,1.3,0.9
701,10.7,6.8,9.7,5.3
702,20.7,5.8,19.4,7.3
703,57.2,18.1,72.7,10.6
704,24.6,13.2,17.4,6.3
705,40.9,11.3,38.6,11.2
706,39.3,10.5,29.5,7.9
709,46,12.8,34.1,9
710,21.9,6.6,22.7,9
711,26.4,7.3,20.1,7.3
712,34,8,33.9,8.3
713,33.9,10.9,31.7,10.1
714,19.5,8.7,30.5,8.5
716,66.2,11.4,69.6,9.7
719,33.8,11.6,20.1,7.8
720,29.4,11.2,16.3,8.3
721,11.8,8,11,5
722,21.3,7.9,14,5.9
723,17.1,6.4,14,5.6
724,7.5,4.6,11.6,6.8
725,12.1,7.8,11.4,5.8
726,15.5,8,10.6,5.2
727,2.2,2.3,6.4,4.1
728,21.2,6.9,17.1,6.5
729,16.2,7.1,7.7,4
730,8.5,5.7,15.4,7.2
731,22.9,7.6,23.4,9.5
732,11.7,5.2,10.7,5.3
733,18.2,7.4,13.1,6.6
734,20.8,8,13.1,8
735,30,11.3,23.3,8.6
736,37.5,16.3,27.4,8.5
737,22.1,8.4,24.2,9
738,33.3,9.2,40,9.6
739,40.5,15.5,27.7,9.3
740,48.5,8.8,34.2,11.3
743,29.1,8.5,23.6,8.3
744,31,8.7,20.6,7.8
801,7.7,3.7,15.1,7.7
802,13.5,5.3,15.5,7.2
804,18.3,7.4,13.1,6
805,2,1.6,12.2,7.8
806,6.7,5.8,7.8,5.5
807,4,3,12.7,6.8
808,1.6,1,2.1,1.1
809,5.5,3.2,3.3,2
810,2.5,1.5,6.1,3.2
811,2.4,1.5,4.5,2.7
812,2.6,1.6,4.9,2.9
813,3.8,2.4,4.9,3.4
901,1.7,1.5,0.7,0.8
902,1.2,1.1,2.1,1.5
903,1.8,1.1,2.7,1.6
904,2.9,2.2,2.1,1.8
905,2.9,2.2,0.9,0.9
906,4.9,2.3,3.4,2.1
907,1.3,1.1,1.7,1.5
1001,3.5,2,3.4,3.3
1002,5.5,3.4,3.3,2.1
1003,2.8,1.9,4.9,4.9
1051,1.8,1.3,3.8,2.5
1052,0.8,0.9,4.9,3
1101,14.1,6.3,23.2,8.7
1102.01,8,4.4,6.3,2.9
1102.02,2.6,2,5,2.1
1103.01,7.2,3.5,5.2,3.2
1103.02,2.3,1.4,3,2.3
1104,1.6,1.7,2.6,2.4
1105,1.1,1,2.9,1.5
1106,3.2,2.6,4.2,2.6
2001,5.7,4.7,4.7,2.7
2002,2.9,2.5,2.2,2
2003.01,1.9,2.2,3.7,1.8
2003.02,1.6,0.9,1.5,1.2
2051,4.3,3.7,2.1,1.8
2052,2.1,2.3,3.3,2.6
2053,2.5,1.8,5.5,2.9
2101,17.5,6.2,25.7,8.8
2102,20.7,6.2,22.9,7.7
2103,11,6.1,16.3,6.5
2104,12.1,5.6,10.3,6
2105,10.3,4.2,9.2,3.8
2106,8.8,5,14.7,9
2107.01,8,3.8,13.8,6.1
2107.02,25.4,9.8,13.4,6.9
2108,2.5,1.4,6.8,4.4
2109,4.5,2.8,1.4,1.3
2110,3.2,3.4,3.4,2.7
2111,0,57.1,0,63.2
2112,7.4,4.5,10.1,4
2113,2.5,3.2,7.2,5.9
2114,2.7,2,4.3,3.7
2201,0.5,0.5,2.8,2
2202,1,0.9,2,2
2203,3.2,2,6.4,5.3
2301,0.5,0.8,4.4,3
2302,3,1.9,3.5,2
2303,4.6,3.2,2,1.7
2304,2.4,1.9,4.4,2.8
2305.01,8.9,8.3,3.1,2.6
2305.02,3.5,2.3,6.5,3.5
2401,3.6,2.3,2.4,2
2402,4.3,3.9,4,3
2451,1.1,1.8,1.2,1
2452,2.8,1.9,1.8,1.1
2453,3.1,2.1,3,3.2
2454,1.6,1.8,0.7,1.1
2455,2.2,1.9,1,1
2456,2.9,1.5,4.2,3.6
2571,2.6,2.2,0.3,0.5
2572,10.6,5.6,23.1,9.7
9900,-,**,-,**
3301,3.7,2.1,3,2.1
4001,8.5,5.7,5.1,3.1
4002,4.6,3,1.2,1.2
4003,5.7,4.8,3,1.9
4051,9.1,6.6,6.5,3.6
4052,6.4,3.2,7.7,4
4053,4.1,2,10.3,5.2
4054.01,2.1,1.6,7.9,4.5
4054.02,8.5,4.4,13.6,6.9
4055,7.3,4.7,3.6,2.1
4056,11.2,4.4,13.3,8.6
4057,18.2,7.3,19.1,8.1
4058,5.1,3.7,7.1,4.4
4059,2.8,1.8,4.2,2.9
4060.01,23.8,5.2,19,7.3
4060.02,2.2,1.6,8.5,4.4
4061,27.2,8.7,20.6,8.1
4101.01,3.3,2.6,2,1.8
4101.02,4.1,2.2,2.7,1.9
4153,36.1,12.9,35.2,8.6
4154,13.3,5.6,10.6,6.4
4155,39.2,11.7,35.4,11.5
4156,17.3,5.5,20,8.3
4157,24.6,8.9,15.9,5.9
4158,21.2,9.8,26.7,11
4159,44.5,15,41,9
4160,20.2,7.4,27.1,11.1
4161,33.2,7.4,39.6,8.7
4162,46.6,13.1,33.9,9.7
4163,29.3,6.7,25.8,6.6
4164,2.9,2.8,1.3,0.8
4165,16.6,8.1,14.9,6.4
4166,30.9,7.4,34.4,9.3
4167,17.6,6.6,17.6,6.5
4168,17.4,9.2,16.2,7.2
4171,41.4,10.2,51.3,11
4172,27.2,8.3,36.9,10
4173,100,100,100,85.6
4174,14.4,6,11.5,5.1
4175,7.2,3.1,9.9,4
4204,9.3,6.1,2.2,2.1
4205,10,6,9.4,6.1
4206,6.5,2.9,10.8,5.4
4207,4.3,2.8,6.2,3.1
4301,6.2,3.2,7.8,3.6
4302.01,5.2,3.4,6.1,3.5
4302.02,1.4,1.4,2,1.2
4302.03,1.6,1,2.6,2.1
4303.01,2,2.5,2.1,1.7
4303.02,4,3.7,2.6,2.8
4304,4.4,3,3.7,2.6
4305,0.8,1,1.5,1.4
4306.01,7.5,4.3,7.1,4.6
4306.02,3.5,3.3,1.8,1.3
4601,5.4,5.4,4.6,3.7
4602.02,4.9,3.6,9.5,4
4602.03,7,3.7,7.4,4.8
4602.04,7.5,4.9,5.3,3.8
4603.01,4.7,2.4,3.7,1.9
4603.02,2.7,1.5,6.7,2.5
4621.01,2.4,1.6,2.9,1.4
4621.02,7.5,5.3,3.5,3.4
4622.01,5.7,3.5,2,1.5
4622.02,4,2.7,5.6,4.1
4641.01,2.8,2.1,2.2,1.5
4641.02,5.1,3.1,3.7,2.3
4661.01,4.7,2.9,3.7,3.8
4661.02,1.2,0.9,2,1.1
4662.01,4.3,2.2,7.5,3.5
4662.02,0.6,0.6,2.5,2.5
4663,2,2,3.3,5.8
4664,1,1.3,4.1,2.8
4681.01,1.3,1.2,3.7,3
4681.02,2.3,1.3,4.2,3
4701,3,2.5,2.7,1.9
4711,8.6,5.5,8.4,4.7
4712,10.8,6.4,5.1,3.7
4713,7.8,3.8,9.3,5.1
4714,6.9,5.3,5.3,3.2
4715,9.9,6.6,4.6,3.3
4731,4.6,2.7,1.1,1.1
4734,5.7,3.5,7,3.6
4735.01,2.9,2.2,4.5,3
4735.02,0.9,0.9,6.4,3.8
4736.01,1.6,1.3,0.2,0.2
4736.02,6.6,3.6,7,3.8
4737,8.3,5.5,8.2,4.5
4738,13.1,8.4,8.9,6.4
4761,11.5,4.8,10.1,6
4762,2.1,1.3,6.6,3.5
4763,8.6,4.3,4.2,2
4771.01,1.7,1.8,5,3.3
4771.02,1.1,1.1,9.4,8.1
4772,2.5,1.6,1.3,1
4803,4,2.9,7.7,5
4804,2.9,2,4.6,3.1
4805,4.4,3.3,1.9,1.7
4806,23.8,6.6,21.7,7.8
4807,12.3,7.4,18.1,6.9
4808,4.9,2.6,5.4,3
4809,1.4,1,4.5,2.6
4810,0.7,0.7,2.9,2.3
4811,6.4,3.9,4.8,2.7
4812,4.8,3.3,10.1,6.8
4813,4.2,2.8,3,1.9
4841,5,3.3,2.6,1.7
4842,5,2.7,10.5,6.8
4871,8.4,7.6,2.3,1.1
4872.01,4.1,3.6,3.5,2
4872.02,1.8,2.5,1.3,1.7
4873,1.5,1.8,5,3
4874,2.3,2,2.2,1.1
4875,2.4,1.4,3,1.9
4901,3.6,2.2,10.6,6.7
4903.02,4.2,2.9,1.4,0.8
4921,5,3.2,3.7,3
4922,3.4,1.9,7.8,3
4923,9.4,4.8,3.8,2.9
4924,6.4,4.7,2.5,2.4
4925,0.4,0.8,3.4,2.1
4926,4.6,2.6,8.1,4.3
4941,3.4,2.1,4.3,2.6
4942.01,6.4,4.9,7.8,3.9
4942.02,2.3,2,2.1,1.7
4943,5.5,2.8,4.1,2.3
4944,3.4,2.7,5.8,2.3
4945,2.3,1.1,3,1.4
4946,7.1,3.7,5.2,2.8
4961,11.6,9.6,23.5,9.6
4962,4.6,2,4.1,2.7
4963,8.7,4.8,4.2,3.6
4964,1.8,1.8,1.6,1.5
4965,2,1.5,2.6,2.4
4966,1.9,2,3.5,2.2
4967,7.8,3.8,6.3,3.3
4968,4.8,3.4,12.1,7.7
4969,17.9,7.1,14.5,7.1
4970,1.5,0.9,2.8,2.2
4971,8.4,3.2,10.5,3.2
4972,9.2,7.7,2.1,1.4
4973,1.3,1.4,7.4,3.9
4974,5.5,4.3,2.1,1.9
4975,5.6,2.4,14.6,4.7
4976,8,5.3,6.3,4.1
4977,7.5,4.9,3.5,3
5001,46.3,11,44.1,8
5002,40.2,11.3,49,9.7
5003,44.4,10,39.7,12.3
5004,49.8,11.9,38.7,10.3
5005,51.8,13,27.5,7.8
5007,-,**,0,41.9
5009,45.5,14.3,44.4,10.6
5012,42.3,11.2,37.9,9.6
5013,47.4,11.3,44.6,11.1
5014,50.3,12.8,34,11.1
5015,34.3,10.7,26.4,8.3
5017,56,20.2,32.3,10.3
5018,60.1,9.8,50.6,7.7
5021,13.2,5.8,15.5,5.4
5023,15,5.1,15.4,7.3
5024,32.2,8.2,31.1,10.6
5025,40.4,10.7,26.3,6.9
5026,41.5,10.2,24.6,9.6
5027,49.7,11.9,33.2,10
5028,56.8,10.8,47.9,9
5029,49.5,12,28.7,8.3
5030,50.9,12.5,42.5,8.8
5031,43,10.4,19.4,7.6
5033,24.3,8.7,36.5,10.2
5035,48.3,16.6,45.7,12.4
5037,36.9,12.1,22.8,8.3
5038,26,14.1,45.4,14
5039,15.1,6.8,13.7,4.9
5040,18.2,8.3,10.6,6.1
5041,23.7,10.9,39.8,11.4
5042,34.7,9.4,43.5,8.4
5043,33.2,10.5,44.4,13.1
5045,30.5,9.9,36.2,8.7
5048,9,6.1,17.4,6.5
5049,20.7,8.4,32.1,8.6
5101,13.4,4.6,11.5,5.4
5102,18.4,6.3,20.1,6.4
5103,21.7,7,10.2,5.3
5104,28.2,10,27,8.7
5105,8.7,4.4,14.3,8
5106,25.8,8.4,19.5,8.8
5107,16.4,7.2,12.9,5.7
5108,9,3.8,8.6,4.6
5109,1.9,1.3,5.9,2.9
5110,4.4,3.4,2.4,1.3
5111,5,3.3,4.7,2.8
5112,23,10.4,22.2,8.1
5113,18.8,8.7,6.9,3.7
5114,4.7,3.3,5.8,4.8
5141.01,6.6,4.7,3,1.9
5141.02,5.3,2.6,5.7,2.5
5142,14.1,6.5,13.6,5.6
5143,4,3.5,5.5,2.3
5144,13.9,6.6,15.4,7
5145,3.7,2.7,5.8,3.4
5146,15.7,7.8,15.7,6
5147,13.2,6.2,17.8,9.6
5148,16.1,6.8,32.2,10
5149,1.8,1.1,4.1,3
5150,3.4,2.5,6.7,5.2
5151.01,5.5,3.8,12.9,7
5151.02,12.9,4.3,14.5,11.5
5152,2.8,2,2.5,1.5
5201,1.7,1.4,3.6,2
5202.01,2.5,2.7,2.4,1.4
5202.02,3.8,3.1,1.1,1.2
5203.01,3.7,2.3,7.1,3.2
5203.02,4.2,2.1,11.1,4.3
5204,1.2,0.8,1.4,1.1
5205.01,2.5,2.5,2.6,2
5241,1.1,1.2,2.5,1.6
5242,11,4.1,11.4,6
5243,0.7,0.7,3.8,1.8
5244,21.6,5.8,34.7,12.6
5245.01,35.5,13.1,10.2,6.3
5245.02,18.8,7,18.8,10.2
5246,27.8,7.7,27.6,7.9
5247,14.3,6.9,10,5.5
9800,-,**,-,**
2501,2.2,1,3.3,1.8
2531,6.4,6.3,6.4,4.8
2532,3.7,2,7.6,3.9
2533,4.8,2.5,2.9,3.7
2534,6.6,4,1,1
2535,2,1.3,3.7,2.5
2536,6.6,3.6,13.2,5.6
2602,10.2,4.4,5.9,4
2611,4.5,2.5,5.3,2.7
2621,6,4.4,12.5,5.9
2632,12.3,7,5.7,3.1
2651,6.3,4,5.6,2.7
2661,10.5,6.4,9.2,4.7
2671,7,3.1,6.2,6.4
2681,2.5,1.6,2.5,1.3
2901,0.6,0.6,2.4,1.3
2931,3.4,2.2,4.6,2.5
2961,7.9,4.8,9.6,6.7
2983,5.4,3.6,8.3,7.1
2984,3.9,2.6,1.1,1.1
3001,9.4,4.2,3.5,2.7
3004,0.8,0.8,7.3,4.6
3005,8.4,5.5,9.5,6.9
3031,5.6,3.3,2.8,2.1
3061,3.2,1.7,3,2.3
3101,14.5,7.2,10,3.3
3102,21.6,10.2,17.3,7.7
3103,15.6,6.8,33.9,10.5
3104,2.3,1.9,4.7,2.7
3105,14.5,8.9,12.6,5.8
3106.01,4.3,2.4,3.8,2.1
3106.02,9.2,7.1,2.4,1.3
3107,11.1,4.7,5.4,2.6
3108.01,15.2,7.9,16.8,8.3
3108.03,8.7,5.5,5.8,3.4
3108.04,12.7,9.6,17.9,6.6
3201,6.4,4.6,22.1,8.3
3202,4.2,2.6,10.5,5
3421,4.4,2.1,6,3.1
3491,2.1,1.4,4.5,2.5
3492,3.7,2.6,8.6,6.1
3601,3.2,1.7,4.2,2.9
3602,2.8,1.7,3.9,2.9
3603,4.8,3,3.4,2
3604,3.6,2.1,3.5,1.7
3621.01,3,1.6,5,2.8
3621.02,5.8,3.4,5.7,3.3
4253,7.1,4.2,5,2.8
4254,5.7,4,4.8,2.7
4255,7.5,3.8,6.4,3.7
4256,6.7,2.1,3.8,1.5
5411,17.1,6.4,23,7.5
5412,6.7,3.5,13.2,6.1
5413,8.3,4.6,7.1,4.3
5414.01,4.5,2.9,3.2,3.2
5414.02,9.7,4.4,9.3,5.3
5415,16,7.1,15.1,7.6
5416,32.9,10,40.1,12.1
5417,22.8,6.5,25.9,9.2
5420,5.1,2.3,6,3.2
5421,18,8.2,11.1,5.3
5422,1.5,1.2,3.2,2.1
5501,5.1,2.8,5.5,2.8
5502.01,2.9,2.7,2.2,1.5
5502.02,3.7,2.2,10.4,4.5
5601,1.1,0.8,4.4,2.9
5602,11.7,5.6,12.2,4.7
5701,3.3,2.4,2.7,2.3
5702,2,1.6,3,1.7
5703,4.3,2.6,8.8,4.5
5801,2.4,1.2,6.4,4.2
5851,1.3,0.8,3.4,2.1
5901,3.8,2.6,4.6,2.9
5951.01,8.4,6.9,2.9,1.5
5951.02,3.5,2.7,6.3,3.5
6001,6,2.4,4,3.1
6101,3.3,1.8,10.3,3.7
6102,6,3,8.2,6.6
6103,10.3,7.9,10.6,4.6
6104,2.1,1.6,4.5,2.7
6201,2.5,2.3,6,3.6
6301,4.4,2.4,5,2.4
6401,0.2,0.4,3.4,2.1
6701,4,2.3,3,1.7
6702,7.6,4.3,6.4,3.1
6801,3.6,2.1,7.8,2.9
6802,10.4,5.4,7.3,4.5
9901,-,**,-,**
1201,5.5,3.2,7,3.9
1202,20.6,9.1,15.6,10.4
1251,3.6,1.4,9.4,4.6
1252,16.5,8.9,22.8,9.7
1253,15.2,8.5,18.1,8.1
1254,21.9,6.6,24.7,9
1301.01,4.2,2,3.9,2.4
1301.02,7.3,4.8,9.7,5.7
1302,8,3.8,3.5,1.5
1401,23.1,6.9,15.9,5.3
1402,48.3,15.7,52.1,9.6
1403,31.6,11.4,43.7,9.5
1404,43.6,10.8,43.9,9.6
1405,38.9,11.3,45.8,12.7
1406,41.7,9.2,37.6,8.3
1407,39.4,11.8,40,8.9
1408,24.6,9.4,36.8,8.7
1409,18.4,6.5,24,8.4
1410,8,3.4,9.2,4.1
1411,6.6,3.4,5.8,2.8
1412,20.5,8.1,30,8.2
1413,44.8,9.6,28.6,6.8
1414,27.3,8.2,12.6,5.4
1415,32.2,9,28.4,11.3
1416,35.3,10.1,30.4,8
1418,18.5,9.3,24.2,8.4
1419,14.1,4.4,12,5.6
1420,19.4,6,22.7,6.9
1421,26.3,12.1,36.4,9
1422,10.2,5.1,14,5
1423,32.7,8.6,33.3,11.1
1424,41.3,9.5,27.4,8.3
1425,28.3,8.8,27.7,9.2
1426.01,26.6,7.1,19.8,6.6
1426.03,21.4,6.2,29.3,12.2
1426.04,26.7,15,11.6,7.1
1427,16,6.3,18.3,7.7
1428,4.2,2.4,3.1,2.5
1501,4.3,2.6,7.6,4.4
1502,4.1,3.6,8.7,8.2
1503,7.3,3.4,7.3,3
1504,6.7,3.5,10.6,5.8
1505,7.2,4.1,5.1,2.7
1506,5.5,2.9,9.9,5.2
1507,2.7,1.4,0.7,0.7
1508,3.3,2.1,5.8,3.7
1509,5.2,3.1,4.2,2.5
1510,4.5,2.3,3.3,1.7
1511,2.7,1.6,4.7,2.5
1512,3.7,2.4,3.6,1.9
1541,16.2,6,13.8,5.7
1542,15.2,6.8,17.8,7.9
1545,16.2,6.4,19.2,7.2
1546,8.4,5.5,13.2,4.3
1547,2.5,1.8,9.4,3.8
