Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
Bethel,2.8,1.3,2.9,1
Bridgeport,23.6,1.4,20.8,1.2
Brookfield,2.8,1.6,3.8,1.5
Danbury,10.1,1.2,11.6,1.5
Darien,5.2,2.1,3.7,1.4
Easton,1.3,0.8,4.3,1.9
Fairfield,4.1,0.8,4.7,1
Greenwich,3.8,0.8,6.6,1
Monroe,4,1.6,3.8,2.1
New Canaan,2.2,1.2,3.7,1.2
New Fairfield,1.5,0.6,3.4,1.7
Newtown,3.4,1.6,4.1,1.3
Norwalk,9.4,1.3,9.2,1.2
Redding,4,2.2,3.2,1.8
Ridgefield,2.4,0.7,2.3,1.1
Shelton,4.4,1,5.4,1.1
Sherman,2.6,2.2,0.3,0.5
Stamford,10.8,1.1,9.3,1.1
Stratford,6.4,1.1,8.2,1.4
Trumbull,2.2,0.6,1.9,0.6
Weston,2.7,1.5,2.6,1.2
Westport,3.7,1.1,4.3,1.1
Wilton,2.5,1.1,3.5,1.5
Avon,4.8,1.7,3.2,1.2
Berlin,6.4,2.6,3.2,1.3
Bloomfield,8.5,2.7,6.7,2.1
Bristol,9,1.2,10.4,1.8
Burlington,3.6,1.9,2.3,1.3
Canton,3.9,1.9,2.9,1.1
East Granby,3,2.5,2.7,1.9
East Hartford,15.3,1.9,13,1.9
East Windsor,5,2.1,7,3.9
Enfield,6.5,1.3,7.4,1.3
Farmington,5.4,1.6,6,1.5
Glastonbury,2.6,0.8,3.8,0.8
Granby,1.7,0.8,3.9,2.2
Hartford,33.9,1.6,30.5,1.4
Hartland,3.7,2.1,3,2.1
Manchester,8.9,1.4,11.1,2.3
Marlborough,1.1,1.2,2.5,1.6
New Britain,22.9,2.1,22.7,1.8
Newington,4.3,1.2,4.8,1.1
Plainville,7.6,2.4,8,2.8
Rocky Hill,6,2.2,7,2.6
Simsbury,2.2,0.8,3.5,1.6
Southington,3.6,0.9,3.6,0.9
South Windsor,4.3,2.5,2.7,0.7
Suffield,1.6,0.8,6.3,4
West Hartford,6.6,1,7.5,1.3
Wethersfield,5.2,1.5,5.3,1.4
Windsor,5.1,1.6,4.8,1.3
Windsor Locks,8.3,2.5,6.9,2.5
Barkhamsted,0.6,0.6,2.4,1.3
Bethlehem,4.4,2.1,6,3.1
Bridgewater,2.2,1,3.3,1.8
Canaan,6.8,2.6,4.1,2.5
Colebrook,3.4,2.2,4.6,2.5
Cornwall,12.3,7,5.7,3.1
Goshen,7.9,4.8,9.6,6.7
Harwinton,4.6,2.3,4.7,3.7
Kent,10.5,6.4,9.2,4.7
Litchfield,6.8,2.9,7.3,3.4
Morris,5.6,3.3,2.8,2.1
New Hartford,3.2,1.7,3,2.3
New Milford,4.6,1.3,5.3,1.3
Norfolk,6.6,2.7,3.6,1.8
North Canaan,10.2,4.4,5.9,4
Plymouth,6.7,2.2,5.3,1.7
Roxbury,2.5,1.6,2.5,1.3
Salisbury,4.5,2.5,5.3,2.7
Sharon,6,4.4,12.5,5.9
Thomaston,2.7,1.4,5.9,2.6
Torrington,11.2,2.2,9.8,1.4
Warren,6.3,4,5.6,2.7
Washington,7,3.1,6.2,6.4
Watertown,3.4,1.1,3.8,1.3
Winchester,5.5,2.9,17.1,5.3
Woodbury,4.6,2,5.4,2.3
Chester,6,2.4,4,3.1
Clinton,5.9,2.6,8.5,2.4
Cromwell,3.4,1.4,5.4,2
Deep River,2.5,2.3,6,3.6
Durham,1.3,0.8,3.4,2.1
East Haddam,5.4,3.2,4.8,2.1
East Hampton,4.1,1.7,5.7,1.6
Essex,4.4,2.4,5,2.4
Haddam,3.8,2.6,4.6,2.9
Killingworth,0.2,0.4,3.4,2.1
Middlefield,2.4,1.2,6.4,4.2
Middletown,10.9,1.5,11.3,1.9
Old Saybrook,5.9,2.5,4.8,1.7
Portland,5.1,2.4,7.3,2.5
Westbrook,3.6,2.1,7.8,2.9
Ansonia,13.9,3.8,18.6,4.3
Beacon Falls,3.8,3,3.6,3.7
Bethany,5.4,4,3,2
Branford,6.7,1.9,5.5,1.5
Cheshire,2.8,0.8,2,0.8
Derby,13.3,5.1,11.4,6
East Haven,9.3,2.1,8.7,2.4
Guilford,4,1.4,3.7,1.2
Hamden,7.8,1.3,8,1.5
Madison,2.4,1.9,2.9,1.1
Meriden,14.5,1.7,10.8,1.6
Middlebury,2.6,1.2,5.1,2.3
Milford,4.7,0.8,6.1,1.3
Naugatuck,8.6,2.2,10,2.4
New Haven,26.9,1.5,25.6,1.7
North Branford,2.1,1.2,2.4,1.2
North Haven,3.8,1.3,3.6,1
Orange,2.6,1.2,3.3,1.3
Oxford,4.5,2.5,2,1.2
Prospect,3.2,1.5,3.2,2.2
Seymour,6.8,1.9,4.7,1.5
Southbury,6.4,2.7,7.7,2.2
Wallingford,6,1.4,4.2,0.9
Waterbury,21.9,1.6,24.3,1.7
West Haven,11.7,1.8,13.2,1.8
Wolcott,3.4,1.5,5.2,2
Woodbridge,1.2,0.8,4.9,3
Bozrah,4.4,2.7,4.8,2.5
Colchester,2.7,1.2,5.9,2.6
East Lyme,3.6,1.1,4.8,1.4
Franklin,2.9,1.5,5.6,2.3
Griswold,9.1,2.9,9.5,4.1
Groton,7.5,1.4,10.2,1.6
Lebanon,4.1,1.7,5.1,3.5
Ledyard,3.3,1.8,4.9,2.1
Lisbon,4.7,3,2.5,1.8
Lyme,4.2,2.7,2.2,1
Montville,5.5,2.2,6.9,2.5
New London,20,3.2,28.3,3.7
North Stonington,5.8,4.2,2.9,2.1
Norwich,15.2,2.6,14.6,2.6
Old Lyme,3.3,2.5,2.7,1.2
Preston,11.4,4.4,6.5,4.6
Salem,2.7,1.6,3.8,2.6
Sprague,7.6,5,10.7,4.5
Stonington,4.8,1.6,8.2,1.9
Voluntown,1.4,1.1,6.4,2.8
Waterford,5.2,1.7,6.5,1.6
Andover,4.9,3.6,1.6,1.3
Bolton,2.1,1.7,3.6,2
Columbia,3.8,2.2,3.2,2
Coventry,3.5,1.6,4,1.9
Ellington,2.7,1.3,1.9,0.9
Hebron,0.9,0.7,2.1,0.8
Mansfield,17.9,3.6,18.2,3.1
Somers,4.8,2.3,3.8,2
Stafford,6.7,2.1,9.8,2.8
Tolland,3.7,2.1,2.3,1.1
Union,1.1,1,1.2,1.1
Vernon,9.2,1.8,8.5,1.9
Willington,18.1,4.9,12.3,4.9
Ashford,4.2,2.9,12.2,5.6
Brooklyn,10.2,4.7,9.3,4.3
