Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
Bethel,7.3,2.6,6.8,1.3
Bridgeport,21,1.2,16.2,1
Brookfield,5.2,1.5,1.6,0.9
Danbury,19.4,1.4,17,1.7
Darien,2.2,1,1.9,1.2
Easton,1.7,0.8,3.9,1.8
Fairfield,3.5,0.7,4.4,0.8
Greenwich,6,0.8,5.4,0.8
Monroe,3.5,1.3,1.8,0.9
New Canaan,1.9,1,5,2.5
New Fairfield,5.6,1.7,2.8,1
Newtown,4.3,1.1,2.4,0.7
Norwalk,12.6,1.2,19.1,1.6
Redding,3.8,1.5,7.6,4.1
Ridgefield,3.4,0.9,5.6,1.8
Shelton,5.4,1,3.9,0.8
Sherman,4.1,2.3,3,1.9
Stamford,19.1,1.3,12.8,1.1
Stratford,10.2,1.8,4.9,0.8
Trumbull,3.5,0.7,3,1
Weston,1.2,0.5,3,1.4
Westport,3.1,1,2.6,0.7
Wilton,1.6,0.7,2.9,1.3
Avon,2.6,1.1,1.7,0.7
Berlin,5.2,1.8,2.5,1.3
Bloomfield,6.6,1.4,3.8,1.1
Bristol,8.7,1.2,5.6,1.2
Burlington,4.2,2,2.9,1.4
Canton,2.6,1,4,1.9
East Granby,8.2,5.4,3.9,2.3
East Hartford,11.2,1.2,7.5,1.4
East Windsor,6.1,2.9,6.2,2.4
Enfield,7.2,1.2,4.8,0.9
Farmington,2.9,1.1,2.8,1.1
Glastonbury,4.7,1.3,3.1,1
Granby,3.3,1.3,1.7,0.9
Hartford,16.4,1,11.1,0.9
Hartland,5.4,1.9,2.4,1.2
Manchester,8.6,1.1,5.4,0.9
Marlborough,3.3,2.6,2.8,1.7
New Britain,12.8,1.2,6.9,0.8
Newington,5.6,0.9,3.6,0.9
Plainville,5.7,1.4,6.9,2.4
Rocky Hill,3.9,1.2,2.5,1.2
Simsbury,2.4,0.7,3,1.1
Southington,4.8,0.9,3.4,0.8
South Windsor,3.3,1.2,1.8,0.8
Suffield,3.5,1.2,2.5,1.1
West Hartford,5.8,0.7,2.6,0.5
Wethersfield,5.6,1.3,3.2,0.9
Windsor,5.7,1,3.9,0.9
Windsor Locks,6.6,1.8,4.8,2.6
Barkhamsted,4.2,2.4,1.2,0.8
Bethlehem,4.9,2.5,2.4,1.7
Bridgewater,4.5,2.4,2.2,1.4
Canaan,10.2,3.9,7.9,4.2
Colebrook,7.6,3.9,3.8,1.8
Cornwall,7.8,3.1,3.6,2.3
Goshen,5,2.8,4,1.9
Harwinton,2.9,1.6,4.7,3
Kent,5.2,3.2,10.1,7.6
Litchfield,4.6,1.6,6.4,2.2
Morris,12.4,4.8,2.2,1.6
New Hartford,6.9,2.6,1.6,1
New Milford,7.9,1.6,6.8,1.7
Norfolk,9.6,3.4,6.2,3.6
North Canaan,8.5,4.5,5.6,2.6
Plymouth,7.9,2,3.7,1.3
Roxbury,9.5,4.9,1.1,0.9
Salisbury,5.5,2.9,8.5,5.3
Sharon,7.5,3.6,4,2.2
Thomaston,5.5,2.2,4,1.5
Torrington,8.5,1.1,7,1.3
Warren,6.4,2.5,3.2,2
Washington,10.6,3.9,3.7,2
Watertown,5.6,1.4,3,1
Winchester,7.6,2.7,6.2,2.9
Woodbury,6,2.1,1.8,0.9
County subdivisions not defined,-,**,-,**
Chester,11.3,5.1,3.5,2.3
Clinton,11.2,3.3,8.1,2.1
Cromwell,8.4,2.6,3.6,1.4
Deep River,10,5,8.1,2.9
Durham,4,2.7,2.5,1.8
East Haddam,4.6,2,5.1,2
East Hampton,5.3,1.9,1.6,0.8
Essex,9.8,3.4,2.5,1.9
Haddam,4,2.3,3.1,2
Killingworth,3.2,1.9,3,1.7
Middlefield,2.4,1.4,2.2,1.4
Middletown,8.3,1.2,3.8,0.8
Old Saybrook,3.8,1.9,5.8,1.8
Portland,5.4,1.8,2.4,1.1
Westbrook,14.1,5.6,6.9,3.4
County subdivisions not defined,-,**,-,**
Ansonia,13.8,3.8,5,1.5
Beacon Falls,3.3,2,5.3,3.4
Bethany,4.8,3.2,4.5,2.2
Branford,6.9,1.1,4.4,1.3
Cheshire,4.7,1.7,3,1
Derby,10.7,2.9,6.9,2.8
East Haven,7.9,1.6,6.6,1.9
Guilford,3.6,1,2,1.2
Hamden,6.2,0.8,5,1.1
Madison,2.6,0.9,1.7,1
Meriden,10.5,1.1,5.1,0.9
Middlebury,6.1,2.3,3.6,1.9
Milford,5.7,0.9,4,0.7
Naugatuck,9.5,1.7,6.4,1.6
New Haven,14.1,1,10.3,0.9
North Branford,3,1.2,1,0.8
North Haven,5.4,1.4,2.9,1.2
Orange,4.3,1.6,2.5,0.8
Oxford,4.9,1.7,3.8,1.7
Prospect,5.3,2.6,3.8,2.1
Seymour,7.5,1.9,2.2,1
Southbury,3.7,1.3,2.4,0.9
Wallingford,7.1,1.4,3.1,0.8
Waterbury,11.6,1.1,10.1,1.2
West Haven,10.8,1.6,7.6,1.5
Wolcott,4.4,1.5,2.9,1.3
Woodbridge,3.2,1.3,5.1,3.8
County subdivisions not defined,-,**,-,**
Bozrah,6,2,2.5,1.2
Colchester,5.3,1.4,1.8,0.5
East Lyme,6,1.9,2.7,1
Franklin,3.9,2,1.7,0.7
Griswold,5.2,2.2,3.4,1.6
Groton,7.1,1.1,5.2,1.3
Lebanon,8.3,3.3,4.6,2.4
Ledyard,5.5,1.9,4.1,1.6
Lisbon,9.9,3.5,1.4,1.5
Lyme,8.6,6.7,2.5,1.6
Montville,7.9,1.9,5.2,2.1
New London,13.2,2.1,8.4,1.6
North Stonington,8.4,4.3,8.8,3.6
Norwich,9.3,1.6,5.2,1
Old Lyme,5.3,1.8,2.7,2.4
Preston,6.7,2.6,2.9,1.3
Salem,3.1,1.6,6.3,3.5
Sprague,9,4.3,4.9,2
Stonington,7.7,2.5,3.1,1.1
Voluntown,7.6,4.3,5.4,2.8
Waterford,4.2,1,3.8,1
Andover,4.1,2.9,2,1.5
Bolton,5.9,2.2,2.7,1.8
Columbia,3.2,2.1,1.6,1.3
Coventry,7.3,2.9,3.6,2.2
Ellington,3.4,1,2.7,1.5
