Geography,ACS2012,ACS2012_moe,ACS2017,ACS2017_moe
Bethel,38390,1877,45171,3583
Bridgeport,19743,540,22806,669
Brookfield,49320,3263,48576,3696
Danbury,30815,1023,32764,1157
Darien,94301,6170,105928,5722
Easton,62493,6056,66658,6042
Fairfield,60556,3045,62541,2725
Greenwich,91717,4611,96533,4157
Monroe,48380,3687,47991,3031
New Canaan,98693,7012,111515,7015
New Fairfield,39940,1791,47982,3842
Newtown,47221,2657,52754,3266
Norwalk,45620,1614,44888,1471
Redding,63081,4574,66046,6073
Ridgefield,77535,5159,78363,5351
Shelton,40559,1907,45642,2806
Sherman,55920,7733,71997,12553
Stamford,43408,1441,52245,1744
Stratford,33805,1308,36043,1330
Trumbull,44885,1746,49030,2264
Weston,92022,7604,95534,7539
Westport,88920,6860,108829,7676
Wilton,78574,4674,82428,6488
Avon,61754,4084,66837,4046
Berlin,38426,2088,45324,2976
Bloomfield,40761,3190,41515,3048
Bristol,30555,1119,32823,1147
Burlington,43245,2844,51224,3638
Canton,43650,3101,52569,6025
East Granby,42999,8696,41099,4036
East Hartford,25549,997,26374,947
East Windsor,33078,2456,36602,3146
Enfield,29866,991,33246,1218
Farmington,50895,4082,55817,3362
Glastonbury,51179,2045,60119,2981
Granby,55814,9352,52140,4497
Hartford,16448,465,19220,730
Hartland,37144,3062,41377,4307
Manchester,33512,1029,34244,1128
Marlborough,44766,3967,47978,6467
New Britain,20601,688,23101,820
Newington,36209,1270,38179,1399
Plainville,31392,1715,35646,2714
Rocky Hill,39785,2319,44956,3409
Simsbury,57069,3366,56622,2776
Southington,37876,1414,41493,1275
South Windsor,40318,2404,46900,2109
Suffield,39646,3773,45478,4473
West Hartford,46234,1624,52846,1994
Wethersfield,39663,2220,41404,2418
Windsor,35594,1820,39542,1831
Windsor Locks,33313,2466,36253,4150
Barkhamsted,37210,2745,42224,3632
Bethlehem,38338,5073,45476,8098
Bridgewater,58181,10481,64829,7826
Canaan,37205,3017,53537,10008
Colebrook,40399,5868,37116,3219
Cornwall,49767,8673,49441,7646
Goshen,42065,5884,40164,4963
Harwinton,45117,5443,44988,5040
Kent,44827,9625,39152,8121
Litchfield,43414,4254,44833,3791
Morris,37172,4486,46973,7031
New Hartford,38098,3798,42173,4193
New Milford,42464,4225,39515,2086
Norfolk,44974,5758,45582,6769
North Canaan,25553,3173,33629,3591
Plymouth,31407,1591,34297,1785
Roxbury,61204,9382,84768,15086
Salisbury,45882,8778,61034,10053
Sharon,48922,9342,69993,18047
