Geography,ACS2012,ACS2012_moe,ACS2017,ACS2017_moe
Thomaston,33123,1754,33667,2113
Torrington,27762,1208,30982,940
Warren,52310,7482,55475,6800
Washington,52826,10367,71672,18960
Watertown,36503,1906,39836,2447
Winchester,29044,2605,32363,3760
Woodbury,44020,3492,48084,4361
County subdivisions not defined,-,**,-,**
Chester,41371,4407,45195,4606
Clinton,37941,2966,39713,3117
Cromwell,43611,4520,45954,4085
Deep River,40988,7148,44101,8039
Durham,45732,3840,55296,11247
East Haddam,39821,4100,40292,2959
East Hampton,40502,2521,43358,3625
Essex,58309,8113,55048,6098
Haddam,39751,4040,48008,4334
Killingworth,51157,5297,50503,5783
Middlefield,40201,4413,45752,4929
Middletown,32205,1126,35992,1449
Old Saybrook,44614,3935,44026,4795
Portland,42447,3607,49280,5646
Westbrook,38303,6070,58608,9774
County subdivisions not defined,-,**,-,**
Ansonia,26348,1715,24896,1632
Beacon Falls,33050,2926,39020,3569
Bethany,45221,4209,51192,6349
Branford,42340,2256,47070,2556
Cheshire,42761,2022,47012,2117
Derby,26797,2267,30321,3307
East Haven,30618,1640,32987,1890
Guilford,51406,4984,60003,4463
Hamden,33781,1299,37009,1366
Madison,53753,3787,53379,3677
Meriden,26761,949,32762,1293
Middlebury,44364,4448,46918,3254
Milford,39882,1418,43547,1491
Naugatuck,29789,1300,34593,3823
New Haven,23026,660,24688,680
North Branford,39264,3502,42794,4404
North Haven,38394,2257,43424,2816
Orange,48196,3343,51784,4009
Oxford,44029,2802,42695,3686
Prospect,36385,1980,41285,2960
Seymour,33030,2046,35974,2965
Southbury,42012,2645,45690,2702
Wallingford,36244,1856,40338,1420
Waterbury,21703,695,21605,814
West Haven,27040,1217,27968,1791
Wolcott,34814,1915,35565,1803
Woodbridge,69179,6187,54109,4229
County subdivisions not defined,-,**,-,**
Bozrah,34209,2612,36717,2755
Colchester,36455,1635,42775,2832
East Lyme,37972,1888,43195,2470
Franklin,35834,2369,42290,4245
Griswold,29736,1993,31146,4017
Groton,33295,1239,35903,1837
Lebanon,34727,2075,40033,3758
Ledyard,38112,1959,42765,4413
Lisbon,36803,4850,39146,3175
Lyme,70267,13509,61367,9016
Montville,29051,1641,32796,2434
New London,22157,1127,23385,1896
North Stonington,39332,4968,36664,4054
Norwich,27903,1313,28429,1578
Old Lyme,49371,4184,55056,4669
Preston,33497,3768,36152,3486
Salem,41657,4581,48703,6011
Sprague,32250,3340,31035,2788
Stonington,44483,2728,49353,2847
Voluntown,32718,2103,34042,2334
Waterford,38894,1873,42028,2557
Andover,37086,3265,42190,3652
Bolton,43525,4999,49763,5217
Columbia,40357,3704,46301,4403
Coventry,37212,2326,41100,3151
Ellington,40231,2645,44421,4833
Hebron,43863,3245,45956,2942
Mansfield,20977,1918,21916,2819
Somers,34655,2093,40388,4028
Stafford,28445,1776,33932,2044
Tolland,44177,2805,47611,3576
Union,34546,4261,46679,5352
Vernon,34483,1292,35260,1457
Willington,30773,2934,39635,6505
Ashford,39095,5114,34236,2936
Brooklyn,25997,2534,31014,2736
Canterbury,31443,2540,36138,3493
Chaplin,33121,4204,33757,2942
Eastford,39041,3687,38958,3604
Hampton,38353,4439,36094,3048
Killingly,26585,1741,29577,1785
Plainfield,25756,1321,29275,1892
Pomfret,39712,4836,43686,4677
Putnam,23526,1880,31197,3176
Scotland,31576,3094,32594,3162
Sterling,26825,3435,28663,3364
Thompson,29044,2325,35606,3049
Windham,20119,1149,19666,960
Woodstock,37611,3430,37910,4444
101.01,114312,19551,96356,23679
101.02,141587,26053,160409,20419
102.01,139515,20499,140228,22174
102.02,95129,12519,101658,15264
103,115783,16889,133639,22044
104,53770,8632,54126,8654
105,41830,5478,44608,7071
106,85332,20334,101881,23252
107,72244,20869,96564,24647
108,68269,8251,73242,9118
109,60796,8797,70521,8155
110,120472,15135,117390,12605
111,88938,13199,121106,11067
112,193243,65513,154692,29314
113,47717,10329,55191,11183
201,33378,8066,67532,18934
202,94559,13369,116016,18005
203,75898,10052,87316,9290
204,65941,15142,91842,15349
205,69466,10292,87957,9479
206,46894,6489,54467,5903
207,54408,6622,66272,7828
208,58186,7327,64076,6437
209,37292,3741,35755,5344
210,51088,6860,49350,7035
211,46908,5475,42463,5331
212,57545,6820,71733,9050
213,36503,5168,51669,8832
214,20839,2455,25358,4457
215,18685,2256,19568,1991
216,44931,7030,52507,11046
217,39884,6068,60641,7072
218.01,39398,6780,39547,5646
218.02,24534,3140,32524,5469
219,35908,4666,31501,5018
220,26543,4363,25271,3304
221,26804,4382,32746,4810
222,21698,4644,45971,7757
223,32531,5558,39774,7324
224,85168,15445,84389,11133
301,132311,18731,124845,14640
302,93495,16555,103629,15333
303,111673,14797,149007,17730
304,69112,9371,71249,10568
305,73374,8695,89820,9154
351,63570,8701,71518,9960
352,147158,19889,167101,25971
353,104761,13847,123275,15704
354,118612,17650,129529,17849
425,55972,8336,57082,7712
426,45152,4544,59793,9518
427,63768,12732,51167,6450
428,50414,6029,42903,4897
429,79257,19876,77114,14912
430,51363,7081,52707,6088
431,54012,5894,50291,5533
432,42210,8706,38026,6089
433,33576,5401,34978,4443
434,30615,4661,37120,4614
435,45096,6172,48728,6185
436,41213,3762,53298,9571
437,26493,5572,38689,7245
438,32437,4386,28740,3108
439,49086,7915,40327,5422
440,27167,4354,28640,6133
441,41272,9930,50649,9825
442,36386,6217,33162,3780
443,61477,9315,53656,7683
444,38169,7885,30100,4634
445,21565,4481,18240,2393
446,93086,14213,118113,21312
451.01,85256,10520,98144,14876
451.02,72445,9574,77923,11230
452,91652,15946,75898,11751
453,76430,13371,80835,11641
454,71636,10198,77164,10644
501,99464,16452,120597,18708
502,72790,10632,89096,14799
503,88726,13981,111663,14741
504,83762,17458,110212,20280
505,84125,12080,104969,15581
506,106793,14784,115300,19806
551,89625,11499,90968,10374
552,95140,11576,100946,11911
601,44002,6917,40083,6930
602,45931,5171,53329,6533
603,68445,10201,76746,10078
604,119715,19040,99665,15023
605,91448,12593,79901,10851
606,81202,12550,112179,22286
607,40877,5917,51483,7939
608,56657,7540,74954,10610
609,54175,7632,67153,9945
610,41273,5340,42857,5419
611,56707,5694,60585,5962
612,41833,4390,38292,4592
613,34713,4205,34763,4255
614,46574,7280,41327,10843
615,70695,11079,73217,11344
616,74919,19733,72320,10980
701,38738,7645,47155,6134
702,23420,3702,22023,2736
703,6351,1852,4215,1024
704,16654,4885,24328,17246
705,12852,2307,14869,3141
706,18624,3401,20606,2918
709,13809,2852,17942,4085
710,14225,1913,15261,2082
711,15922,1998,22345,5939
712,12994,1473,16274,3173
713,14169,2176,16403,2793
714,16742,2623,16934,2886
716,12553,5789,9089,2117
719,15289,1879,20777,5250
720,20331,3098,24188,4218
721,27112,2961,34684,5665
722,19892,2417,26163,3026
723,22548,2383,30215,5515
724,26929,3982,19833,3202
725,25298,3256,29074,4402
726,24986,3233,30531,4659
727,38055,8761,28562,3677
728,17753,1996,21447,2402
729,23269,2809,24897,3156
730,22160,3836,30859,5805
731,21126,3459,26236,3928
732,20820,2473,26900,4900
733,21006,2540,21359,2190
734,17329,2281,20297,2949
735,13963,2303,17494,2831
736,12322,3096,15313,2357
737,17011,2211,16316,2917
738,13828,2868,12493,2223
739,14282,3654,16128,2327
740,11038,2068,15052,2853
743,14747,2631,17115,1871
744,14136,1850,15560,2087
801,22973,2607,27259,3483
802,25329,5020,26498,4057
804,19354,2435,24216,3403
805,49391,10750,43801,6357
806,35593,4929,37916,5207
807,37588,7494,36989,5479
808,42323,5119,40859,4138
809,33057,5096,34739,3338
810,30696,2466,32847,3372
811,35424,2251,41135,2955
812,39257,2554,46695,6702
813,46370,3960,42596,4636
901,54589,5786,52296,6021
902,41828,3530,51514,8585
903,42727,5120,46181,4365
904,38359,3758,41697,4867
905,47364,4437,49168,4460
906,51545,6627,51034,5720
907,46857,3697,53567,4727
1001,50773,6963,46737,5862
1002,43677,4890,48168,4081
1003,51161,7178,49028,6957
1051,59629,8047,67930,7698
1052,65849,7860,65136,11830
1101,26323,5655,33870,6087
1102.01,31377,2595,40149,5673
1102.02,39362,3693,48006,10925
1103.01,45975,4126,47262,5140
1103.02,45510,5975,49100,6860
1104,46315,9756,51222,7604
1105,42067,5816,49114,10384
1106,40568,3987,42920,3933
2001,34874,4634,38379,4107
2002,35272,3540,41835,8020
2003.01,39094,3434,42318,3114
2003.02,42796,3347,55435,9919
2051,50738,5942,54044,9498
2052,51969,5215,50892,4963
2053,45034,5154,42010,4401
2101,19858,2501,20381,3808
2102,19421,2875,16559,1834
2103,23679,2831,25462,2421
2104,30800,4431,30189,2842
2105,42040,4187,46406,4232
2106,25607,2535,24082,2789
2107.01,21153,2544,20446,2580
2107.02,24301,3180,22278,2933
2108,41336,4344,41278,5931
2109,42749,4020,54146,7015
2110,32111,2662,33839,4815
2111,12456,6657,6766,3683
2112,34527,3310,36399,4225
2113,37086,3472,47175,9392
2114,42258,4613,46805,6630
2201,43424,4067,42909,4556
2202,37379,2979,48214,6231
2203,38381,3506,54897,9468
2301,44297,4765,52721,7323
2302,47133,4692,55790,5627
2303,58372,9743,53620,6928
2304,49682,7484,53058,5909
2305.01,56093,12389,59327,6652
2305.02,35042,3864,44830,5870
2401,52299,4920,62614,8241
2402,74519,8886,69354,10070
2451,64942,7488,71022,9081
2452,66650,8628,68959,8847
2453,64909,9952,80989,11593
2454,83099,14108,91005,11253
2455,78430,12952,77723,10700
2456,98852,16782,80163,12532
2571,55920,7733,71997,12553
2572,19871,3335,25430,8441
9900,-,**,-,**
3301,37144,3062,41377,4307
4001,33698,3835,43828,5885
4002,43284,4083,47474,4062
4003,39470,3118,45084,5416
4051,32384,3414,34838,3402
4052,30541,1941,32434,2603
4053,30864,2204,28788,2758
4054.01,39615,5625,40435,5493
4054.02,26103,2823,33568,4080
4055,29050,3353,33979,4018
4056,25109,3532,28183,3428
4057,21803,3515,21466,3063
4058,39810,4673,41816,5785
4059,38761,3199,38927,3657
4060.01,23011,2034,24483,2922
4060.02,34992,2758,40304,4127
4061,19059,2457,21141,2660
4101.01,44164,3949,49339,4065
4101.02,41974,4336,53713,5911
4153,13250,2690,16213,2166
4154,22099,2192,20552,3042
4155,13691,2630,21425,4995
4156,18243,2354,22103,4911
4157,25239,3439,30924,4070
4158,21106,3812,23450,5241
4159,13760,3112,17959,3182
4160,21666,3856,19346,2956
4161,14436,1679,14075,1612
4162,14894,3166,16055,2722
4163,20739,2519,19080,2151
4164,34503,3233,43783,7558
4165,21884,2606,25709,3209
4166,17892,2356,17390,2197
4167,20847,2294,23582,2007
4168,23647,3598,27415,3826
4171,13838,2337,16602,4450
4172,24219,3104,20503,2900
4173,4061,573,1699,903
4174,34940,4781,40748,4224
4175,26397,2220,32627,5133
4204,31716,3076,40018,5599
4205,27610,2968,35652,5764
4206,33979,3839,31580,4349
4207,33240,3203,39036,4735
4301,33717,3380,33735,3551
4302.01,40017,5851,41162,5011
4302.02,41801,3429,46866,3475
4302.03,38967,2651,38509,2367
4303.01,42481,3772,47534,3245
4303.02,36334,4090,38029,3922
4304,35842,3383,43267,4233
4305,39889,3010,44563,3429
4306.01,34907,5461,38260,5448
4306.02,34394,2987,40724,4141
4601,47304,6504,64100,10137
4602.02,68196,18491,58471,7646
4602.03,58276,9386,73794,13937
4602.04,45073,7197,52765,7377
4603.01,51345,5704,45866,3533
4603.02,37947,4064,50000,6155
4621.01,58572,6432,59095,6394
4621.02,61607,7082,77038,7168
4622.01,52101,6955,55107,6641
4622.02,88795,19670,91920,16537
4641.01,48868,4772,53844,6092
4641.02,38024,3993,51221,9273
4661.01,55945,5298,58129,6577
4661.02,58086,5966,51933,3797
4662.01,48655,7209,40994,5235
4662.02,68904,7756,69217,7738
4663,53213,10017,54283,4954
4664,50508,9522,62292,9466
4681.01,61864,14220,54753,6421
4681.02,44731,5015,47700,5380
4701,42999,8696,41099,4036
4711,23717,2157,28665,4587
4712,22815,2593,25159,3367
4713,43284,6481,45487,9790
4714,65884,8909,61633,7877
4715,32943,5336,35777,3318
4731,34208,4778,36002,3097
4734,39143,8012,38048,4000
4735.01,44767,4477,61154,6793
4735.02,38205,4885,42789,4845
4736.01,42894,4196,46675,4101
4736.02,33344,3691,33019,2833
4737,28219,3618,30103,3994
4738,24406,3028,25430,3776
4761,32998,4617,32447,4644
4762,35844,5002,53551,17576
4763,32292,2949,30792,3204
4771.01,59331,13424,54572,7054
4771.02,31071,2578,40623,6490
4772,38495,4034,47366,4389
4803,30576,2633,27560,2550
4804,32285,2434,33584,2685
4805,29187,2205,32641,3201
4806,20923,3257,26560,4159
4807,28176,3778,30844,3337
4808,37449,3212,36257,3233
4809,25366,3050,35796,3123
4810,38053,2914,44017,7183
4811,29854,3243,32388,2286
4812,32109,2284,37067,3295
4813,37504,3741,44973,5292
4841,30757,3540,37810,3132
4842,35429,3337,35608,4748
4871,35921,4844,45797,3944
4872.01,45487,7908,49198,6175
4872.02,41567,3771,59010,6167
4873,50524,14596,42761,3865
4874,40345,3789,46040,5025
4875,39110,2618,41169,3252
4901,33749,2740,40887,6028
4903.02,43709,3994,48548,5054
4921,41698,4819,49772,6496
4922,37906,3305,35625,2658
4923,29599,2613,35585,4424
4924,39516,5751,37600,3057
4925,43214,4675,41562,4793
4926,46688,5354,47487,6774
4941,38795,4537,41357,3693
4942.01,32094,2631,34833,4192
4942.02,41428,3677,44679,4476
4943,36863,3496,34214,2882
4944,32140,2760,36970,2614
4945,33665,2362,35800,3645
4946,42034,5784,41876,4526
4961,27776,4840,21089,3380
4962,33959,3534,41456,4639
4963,39200,4010,43848,4254
4964,41128,5200,55819,5605
4965,58587,6440,61852,7107
4966,60112,8509,62859,9621
4967,30258,3132,37020,5182
4968,25486,2956,33487,4425
4969,34619,4942,49253,7252
4970,53006,4220,68446,5338
4971,47595,6303,43812,5126
4972,57028,12890,49712,10428
4973,45911,5317,49506,5296
4974,55502,5666,69844,7938
4975,57999,9710,52269,5363
4976,47505,6165,63415,8109
4977,78403,11289,88039,12649
5001,12172,1889,11928,1517
5002,13920,2977,11631,2079
5003,12630,2132,15264,2617
5004,12086,2829,15404,2977
5005,21842,7383,25271,3723
5007,14827,4538,4554,2430
5009,11830,2798,10890,2540
5012,11715,2148,12265,1617
5013,13054,3207,10850,1810
5014,9925,1783,15222,2729
5015,11212,1675,16229,2625
5017,10216,2868,12430,1843
5018,10869,2734,10463,1447
5021,63410,8821,61729,9497
5023,20343,1718,24426,4583
5024,13646,1492,15337,2307
5025,16003,2699,17160,1882
5026,13002,2236,16766,2800
5027,8218,1639,13773,5887
5028,9273,2398,13613,2095
5029,20884,4390,19579,4166
5030,11043,1519,11759,1889
5031,17441,2818,24045,3403
5033,18090,2353,16401,3217
5035,9846,2678,12814,2508
5037,14817,2230,19596,3023
5038,6717,1278,6123,2359
5039,18452,1994,30930,6562
5040,18860,2715,26064,4036
5041,14765,2747,13802,2535
5042,19868,5265,21750,3129
5043,16804,2701,12139,2027
5045,16127,2293,18764,3113
5048,20992,2264,25589,4384
5049,18155,2263,14693,1874
5101,30502,5420,29150,3460
5102,22734,2741,22245,2367
5103,18879,2759,22753,4340
5104,19774,3203,16924,3111
5105,34329,5348,27032,3605
5106,20107,3261,21364,2500
5107,26419,2755,25367,2148
5108,22158,2577,29075,4021
5109,37490,7192,38879,4246
5110,33573,3090,34114,2989
5111,30325,4294,34634,3808
5112,20907,3259,22013,2891
5113,19676,2570,25599,2969
5114,29312,2617,31714,3087
5141.01,46184,5396,40583,3307
5141.02,33835,3298,39030,3834
5142,29036,3573,31837,2937
5143,33619,3982,33780,3377
5144,26110,2548,30603,4673
5145,31731,2464,27215,2714
5146,25640,3711,28170,3674
5147,27862,5444,24638,3581
5148,23239,2765,20511,3002
5149,38388,4366,36036,3145
5150,41676,5335,41687,3711
5151.01,33355,4681,34516,5425
5151.02,35939,3362,37394,6393
5152,49388,4739,56605,6028
5201,54519,6793,63422,10023
5202.01,64413,6314,66646,10053
5202.02,60457,7490,68445,7013
5203.01,34600,3132,47066,3885
5203.02,40102,3904,46049,9505
5204,49509,3785,56960,7198
5205.01,58767,6095,72955,8686
5241,44766,3967,47978,6467
5242,38858,4585,43709,5581
5243,24353,2420,25269,3419
5244,17507,2267,14776,2734
5245.01,22393,5429,33301,5643
5245.02,44225,10742,56165,11241
5246,17624,1878,24104,5377
5247,20583,2229,24651,3212
9800,-,**,-,**
2501,58181,10481,64829,7826
2531,32266,3888,34330,4556
2532,43901,5998,40121,4075
2533,42350,6090,37786,5900
2534,52401,15405,46382,5454
2535,41712,5096,41641,3335
2536,28673,3015,25684,2600
2602,25553,3173,33629,3591
2611,45882,8778,61034,10053
2621,48922,9342,69993,18047
2632,49767,8673,49441,7646
2651,52310,7482,55475,6800
2661,44827,9625,39152,8121
2671,52826,10367,71672,18960
2681,61204,9382,84768,15086
2901,37210,2745,42224,3632
2931,40399,5868,37116,3219
2961,42065,5884,40164,4963
2983,41581,8741,39938,4899
2984,48270,7271,50247,7390
3001,45299,9184,48526,7241
3004,36612,4502,45967,8726
3005,46126,6103,42039,5921
3031,37172,4486,46973,7031
3061,38098,3798,42173,4193
3101,25709,3081,27016,2504
3102,21715,4084,24909,3641
3103,18540,3184,20458,4381
3104,30926,2243,35201,4440
3105,25537,2923,29371,2693
3106.01,33187,4706,39990,2933
3106.02,29605,3206,33903,2843
3107,35091,5109,37124,3756
3108.01,20101,3330,29605,3605
3108.03,25007,2559,26112,2626
3108.04,31882,10035,31248,3453
3201,27859,3336,31544,5712
3202,30601,3640,33446,3784
3421,38338,5073,45476,8098
3491,33479,2183,34722,2506
3492,32456,3191,31708,3599
3601,38827,4096,41700,5468
3602,44427,4355,47713,5619
3603,30279,4318,31313,3414
3604,28216,2089,32524,3651
3621.01,44969,5021,50652,5189
3621.02,43323,4650,46005,6328
4253,31756,2716,36617,2680
4254,31624,3049,33431,2457
4255,30675,2703,32438,3962
4256,41519,3345,49074,5584
5411,24023,4561,18710,2784
5412,35098,3270,38459,5531
5413,36909,3326,43326,4186
5414.01,45476,5961,50019,7268
5414.02,34199,3246,42852,5491
5415,17342,4223,18707,5200
5416,15667,2635,23367,7697
5417,25174,5893,20734,2627
5420,34567,2925,36153,3484
5421,23658,2385,34236,4207
5422,47209,5847,41919,3929
5501,44302,4436,48506,7897
5502.01,37569,4195,44271,3197
5502.02,37055,4501,33576,3414
5601,49839,4741,56928,8664
5602,30635,3737,36524,5910
5701,39479,3210,50857,4730
5702,41707,3650,45410,4349
5703,47934,9774,42325,8607
5801,40201,4413,45752,4929
5851,45732,3840,55296,11247
5901,39751,4040,48008,4334
5951.01,42909,7437,42031,5155
5951.02,37907,4705,38937,4876
6001,41371,4407,45195,4606
6101,34597,7804,39323,3994
6102,39159,7002,42863,8331
6103,35044,5512,36241,3680
6104,42545,6393,40844,4125
6201,40988,7148,44101,8039
6301,58309,8113,55048,6098
6401,51157,5297,50503,5783
6701,40429,3945,44512,5488
6702,48393,7236,43570,7286
6801,38303,6070,58608,9774
6802,34773,3534,40194,4501
9901,-,**,-,**
1201,32734,2599,35910,4324
1202,21301,3270,25099,4244
1251,33037,2583,33057,2951
1252,25112,3876,22403,3391
1253,20853,3323,21689,2336
1254,28125,3737,22827,3265
1301.01,30884,2243,35624,4269
1301.02,28412,2458,34990,4178
1302,35862,3768,36502,4449
1401,38822,7444,64949,9403
1402,10468,2707,13813,4277
1403,14264,3112,12259,2150
1404,15360,2797,21611,4035
1405,12026,1814,14868,6355
1406,13674,2332,18608,3209
1407,18721,3655,19826,4639
1408,16742,2802,17507,2470
1409,22023,2738,25049,4311
1410,50355,5922,51437,8578
1411,44020,5541,38477,5023
1412,21885,2691,21193,2589
1413,16752,2996,18610,3680
1414,21790,3074,26601,3075
1415,13675,1442,15615,2918
1416,18766,7717,17745,2801
1418,36802,5645,29145,4453
1419,53414,9172,46410,5583
1420,39787,5995,49122,5841
1421,19874,3807,18554,2934
1422,45200,5429,50020,5797
1423,18358,3101,16808,3028
1424,13731,2153,14860,2193
1425,15743,2132,16404,2129
1426.01,21650,2612,20244,2804
1426.03,17831,2511,18901,2345
1426.04,24313,5155,28378,4281
1427,24147,3270,19891,2864
1428,34593,3214,40829,6195
1501,43705,5095,49409,5258
1502,33933,4096,42336,7138
1503,30473,2785,37635,2959
1504,33092,4117,33351,3588
1505,37362,7421,38354,3579
1506,43176,3139,39370,4388
1507,41431,4369,51109,6316
1508,38159,4060,40808,3120
1509,52630,10046,50986,5991
1510,46871,5877,46876,4216
1511,41040,2456,46074,4303
1512,32722,3638,47389,6756
1541,26239,2968,29093,3615
1542,21970,2615,21263,2850
1545,26607,4682,34489,18593
1546,27291,4032,21357,2927
1547,38695,4062,35589,2990
1548,33809,2812,42043,4172
1549,30058,4232,33739,4731
1550,23055,3693,26867,3576
1551,27263,4195,25829,3996
1571,41037,6664,39234,6809
1572,47971,5006,56661,9999
1573,55629,7788,56526,6080
1574,47222,5526,51397,5287
1601,75787,11434,60157,6732
1602,65155,7694,50670,5218
1611,45221,4209,51192,6349
1651,32369,3341,33850,3104
1652,55970,8174,75304,10859
1653,46454,4919,51630,7436
1654,42630,5768,46925,5580
1655,18549,2349,24679,2643
1656,28680,3581,28341,3292
1657,27236,2916,28900,3277
1658.01,30218,3434,39447,6046
1658.02,35939,4502,39628,5049
1659,43418,4356,43520,5174
1660.01,36623,3675,39495,3105
1660.02,23702,4816,23610,3416
1671,51157,5708,50796,5830
1672.01,33206,3765,38557,4511
1672.02,29559,2576,37864,4389
1673,32934,2703,41289,4147
1701,9727,2369,17586,3033
1702,17433,5833,26096,3168
1703,13075,2198,24878,3391
1704,28597,4404,33270,3529
1705,33829,2772,38349,4829
1706,21906,2669,28151,3095
1707,24102,2864,30288,5164
1708,25969,4523,26834,3434
1709,16250,6001,24063,3231
1710,13746,1630,32268,7622
1711,33033,4751,31784,4013
1712,36178,2027,40637,2742
1713,29243,2787,28594,3795
1714,17903,2747,29542,6497
1715,17213,2464,26844,4011
1716,28572,2715,35402,4334
1717,35783,3302,41523,5211
1751,30975,4745,38748,8591
1752,27119,4149,30066,4342
1753,27513,1960,38323,3252
1754,26475,2909,32686,3092
1755,43516,7748,41054,3873
1756,32252,2625,41437,2858
1757,41234,4515,41753,3755
1758,43799,4035,47809,4357
1759,31650,2470,40817,6702
1760,46896,5376,43855,4102
1801,35327,4075,35414,4378
1802,31775,3985,30418,4696
1803,20966,3003,26676,3677
1804,24670,3599,33352,3690
1805,27875,2554,35242,5505
1806.01,26892,2314,30742,3441
1806.02,37896,8163,35533,3395
1841,31872,3088,35684,3436
1842,33696,2497,30988,4092
1843,42595,4942,56545,6539
1844,58033,7194,56274,9900
1845,46541,8377,46314,6006
1846,65072,11022,77860,11729
1847,36280,4646,41654,6163
1861,38585,4252,46258,7535
1862,39942,5597,39175,4173
1901,59230,29515,52921,5941
1902,54776,6774,73842,9102
1903.01,50887,4865,60364,9388
1903.02,46729,5672,57067,7192
1903.03,49453,6478,55210,8046
1941,56968,8783,57343,8997
1942.01,51027,5884,48524,3675
1942.02,54367,4162,56269,5890
3411,33050,2926,39020,3569
3431.01,33768,4184,35677,2881
3431.02,48620,5238,49409,5199
3432,41356,3370,47632,6612
3433,46032,4997,51002,4985
3434,45793,4372,51500,5004
3441,43239,5060,43582,4105
3442,46322,8919,53325,5132
3451,29724,3426,32545,4563
3452.01,28315,2371,29200,4467
3452.02,34926,3428,40215,8778
3453,23632,1912,40247,15200
3454,33562,4262,33421,4304
3461.01,44298,4138,42566,4972
3461.02,43721,3362,42842,4830
3471,37545,2536,42933,4120
3472,34839,2733,38796,4073
3481.11,37425,8024,41582,5003
3481.22,42358,5913,46777,3739
3481.23,44710,5205,48670,7205
3481.24,43186,9293,44610,4270
3481.25,40746,5928,43903,6098
3501,16161,3994,13867,3973
3502,13626,2581,11760,2375
3503,12506,2593,14896,3393
3504,11046,1908,10481,1564
3505,10908,2082,12090,1800
3508,15910,2601,14444,1942
3509,21287,4109,22070,4028
3510,17310,2856,24127,4487
3511,21440,2724,18284,2723
3512,15385,2702,13228,1788
3513,27173,6838,21812,2985
3514,17210,3660,15013,2433
3515,22602,2256,22754,3023
3516.01,25477,3779,31776,9582
3516.02,29351,3047,27724,3016
3517,13073,1978,14911,5273
3518,27614,2483,35634,3675
3519,30007,3152,30827,3507
3520,30706,3767,35529,6527
3521,25013,2749,25567,3936
3522,14641,2355,12024,1679
3523,17884,2671,19676,2777
3524,23026,2364,19027,3095
3525,24759,2591,25843,3123
3526,25688,3792,23004,3035
3527.01,25427,4294,22030,2612
3527.02,23161,3308,25976,3155
3528,24246,4376,25063,4115
3611,38071,3693,35979,4345
3612,31084,2575,33835,3155
3613,34391,5046,36936,2833
3614.01,15097,3806,19129,3046
3614.02,7615,2269,8855,2166
3615,17892,1906,17441,2033
9900,-,**,-,**
6501,70267,13509,61367,9016
6601.01,48701,5943,51973,5967
6601.02,49875,6421,57452,5907
6903,20313,1322,23392,3639
6904,15311,2513,19938,3098
6905,18147,3865,23034,4576
6907,20170,4036,22306,4761
6908,25563,3746,22192,2924
6909,37243,2978,39518,7021
6933,38871,2998,46119,6439
6934,38167,3843,32228,3000
6935,47965,5706,47257,4474
6936,34168,4727,41469,4694
