geography,before,beforemoe,after,aftermoe
Clinton,68225,7266,76509,5562
Cromwell,80134,8251,85856,4279
Deep River,77625,16103,69028,8835
Durham,109969,10438,116232,7299
East Haddam,91146,6951,78177,8546
East Hampton,93083,6564,99104,3927
Essex,90242,12602,87857,10893
Haddam,89184,8601,105920,10586
Killingworth,106964,15974,113413,13515
Middlefield,87463,9366,103844,15068
Middletown,60542,3097,63914,3110
Old Saybrook,78227,10767,74185,4327
Portland,92344,9671,88433,13506
Westbrook,63885,8815,95583,18118
Ansonia,54720,5606,45563,6221
Beacon Falls,79207,6695,88355,14912
Bethany,109564,8978,109844,20417
Branford,70075,4943,75366,7542
Cheshire,110587,5186,107579,7511
Derby,54561,6680,57432,6703
East Haven,63574,2252,63051,3183
Guilford,95745,6622,107587,7132
Hamden,68462,4111,74281,3661
Madison,107062,7565,108167,7843
Meriden,53831,2922,57350,2602
Middlebury,97996,5029,105036,8160
Milford,79531,2868,86382,4151
Naugatuck,62574,2938,63452,6156
New Haven,38482,1865,39191,1664
North Branford,82460,4559,83637,4171
North Haven,83089,4815,96273,6729
Orange,106372,6766,109538,10563
Oxford,107308,8729,104316,8595
Prospect,95325,8520,102617,11903
Seymour,73099,10756,75550,9519
Southbury,67195,7419,90324,5743
Wallingford,75467,3839,77128,2733
Waterbury,40867,2135,40879,1811
West Haven,51911,2895,55299,2646
Wolcott,80655,4795,87045,8291
Woodbridge,137216,11489,138320,17696
Bozrah,83188,6357,82500,9405
Colchester,92522,9465,101031,4695
East Lyme,81599,3720,83590,5991
Franklin,88333,8900,92279,20626
Griswold,64574,8484,60521,5917
Groton,61966,2624,63895,2525
Lebanon,81120,8149,93531,9227
Ledyard,88057,3712,88163,6350
Lisbon,80539,11136,85296,8246
Lyme,86250,19232,84922,14343
Montville,67262,5979,72639,5925
New London,44106,2262,37331,4812
North Stonington,81434,12886,84833,13672
Norwich,51304,2655,53682,2599
Old Lyme,92175,8763,95175,11293
Preston,76296,10510,74083,9212
Salem,100375,6739,106719,13163
Sprague,67415,6297,62178,6041
Stonington,80666,5071,78875,3038
Voluntown,74032,3485,81400,7042
Waterford,75270,3199,79175,3304
Andover,97762,12656,100507,16384
Bolton,87885,13976,101667,8934
Columbia,92973,4735,100179,10780
Coventry,92308,3857,88562,6133
Ellington,84934,4934,82507,4537
Hebron,114286,8238,104519,11025
Mansfield,67615,7399,58819,8557
Somers,100100,6422,101897,5912
Stafford,63672,6586,68813,8230
Tolland,103358,6522,112740,6609
Union,83500,6636,93750,23378
Vernon,61848,2890,60648,4112
Willington,70013,17933,75885,7137
Ashford,75242,14912,68846,16216
Brooklyn,62857,15763,75000,12867
Canterbury,66641,10553,89213,7105
Chaplin,75333,18374,76932,13804
Eastford,82885,8232,84375,10401
Hampton,75278,10734,74265,3742
Killingly,55598,6137,54868,9921
Plainfield,62775,4021,67409,5878
Pomfret,82661,6984,84457,16208
Putnam,46440,9132,58416,6543
Scotland,77634,7781,85714,7488
Sterling,67794,7199,75574,7089
Thompson,63385,5717,77267,6200
Windham,41007,2589,41293,2154
Woodstock,81705,11570,81441,13038
101.01,158516,41762,137016,25803
101.02,223309,63788,"250,000+",***
102.01,"250,000+",***,208906,78602
102.02,179917,19325,190052,45319
103,153750,33007,227262,33599
104,85762,19933,109766,4592
105,67513,11306,69934,18593
106,97679,30629,97279,23323
107,77596,11492,72953,10869
108,137083,17507,130825,24010
109,107255,6920,146938,14566
110,231429,59894,"250,000+",***
111,203550,35095,"250,000+",***
112,242045,57332,212292,52521
113,88773,8106,80962,15151
201,48938,13872,53750,18184
202,199338,25808,238000,33040
203,175057,31935,199766,37349
204,144395,29804,172076,42675
205,137679,27132,160903,30788
206,95862,11260,133804,16311
207,120688,12334,136429,21529
208,145223,14509,146447,23177
209,71321,14026,72585,18454
210,91625,24183,103192,15091
211,80000,18387,84310,20555
212,103618,20889,120227,8864
213,83333,11434,101010,12610
214,44934,9658,51105,5446
215,52405,7390,41782,6463
216,73979,6418,84302,8568
217,61588,7622,87500,13999
218.01,80531,13342,75000,17825
218.02,43381,13377,58566,10532
219,68750,8821,59539,10716
220,63542,10552,55398,13599
221,48889,11937,63495,5757
222,51950,10245,61063,8852
223,75685,10802,73061,9464
224,149444,63573,161042,54121
301,"250,000+",***,"250,000+",***
302,203875,35706,223021,36767
303,"250,000+",***,"250,000+",***
304,133883,11006,146534,18274
305,153942,44683,186250,31920
351,107250,13568,104313,12418
352,"250,000+",***,"250,000+",***
353,"250,000+",***,"250,000+",***
354,"250,000+",***,"250,000+",***
425,100417,25940,131071,21822
426,89808,6413,99722,12564
427,102679,25743,85000,22686
428,102188,12990,98456,12128
429,142321,31044,136625,20172
430,109314,12277,118983,21140
431,117036,11569,104508,24089
432,57795,14260,72447,11787
433,76771,24603,87571,17501
434,48016,6741,61736,12548
435,85938,13938,104625,7971
436,86173,6803,101406,12599
437,34923,7581,60500,17186
438,74117,6766,58590,10539
439,88421,37118,97333,27793
440,50216,17192,59239,15853
441,45000,13400,68571,24019
442,46618,8471,57625,14589
443,94315,14428,96563,14100
444,63958,20425,53517,6012
445,31311,6488,58399,10613
446,138977,26847,150441,51611
451.01,232599,21154,205913,21581
451.02,145833,35246,155625,20591
452,130109,37972,128750,22115
453,181364,48380,211786,20533
454,136500,7513,203125,30076
501,183542,29025,232067,58874
502,110887,17295,155452,24085
503,171484,39344,202308,81086
504,107250,49312,138571,57166
505,131250,36117,155202,27960
506,162500,23084,182625,62099
551,208266,19406,201724,38423
552,246500,58580,"250,000+",***
601,131434,9851,125227,44192
602,105337,8641,133351,20043
603,159167,19734,176607,34659
604,231645,35984,196875,35770
605,229750,16994,175972,22572
606,116905,20294,175515,55813
607,143286,23123,172984,12048
608,116927,17059,155250,23980
609,128895,10858,140903,21905
610,73409,16111,73642,8443
611,140250,14319,149960,17094
612,83239,12526,79620,10900
613,79063,15986,85667,20742
614,81250,11734,67019,12372
615,121000,16967,138333,33540
616,134667,25764,130859,26794
701,63409,9385,78358,11813
702,39539,8071,41940,8122
703,15114,4783,7545,2136
704,35278,11629,31750,11923
705,20982,11212,22256,6995
706,14705,4522,19216,2141
709,21975,6861,30000,13107
710,38750,12937,41167,7389
711,36667,8406,50313,15679
712,26486,6527,27778,9974
713,30542,6592,27500,9686
714,43456,8489,41105,7881
716,19211,4381,17782,2656
719,30711,7225,35753,5891
720,35491,9908,57375,23625
721,48750,12968,55119,19435
722,40813,5468,53848,4168
723,63417,10329,74189,11140
724,72852,16926,49500,8419
725,60039,16814,66417,12324
726,57566,12560,70490,14334
727,69583,12333,78832,14463
728,48148,9068,44620,8849
729,60396,10171,61867,10700
730,43017,11077,73008,19233
731,29753,8925,37421,7841
732,44655,6719,48207,5778
733,39354,5003,43011,14950
734,39827,8839,49560,7509
735,30927,13681,42188,8434
736,28750,15856,38469,8428
737,32752,7690,34563,8640
738,29837,9202,23672,7747
739,28653,3355,30047,8966
740,20577,6535,31928,11237
743,28484,5962,38441,6001
744,32266,3148,42117,5096
801,47454,8165,68688,8195
802,51140,4622,58480,11531
804,41781,3902,45881,14698
805,76587,9630,82652,14235
806,67212,12650,66518,18165
807,59479,15586,57564,9964
808,93344,14704,90478,12782
809,73655,6671,84911,7561
810,62266,14052,64258,10803
811,88550,6113,101875,12183
812,95000,7014,107250,11926
813,87667,8266,68806,4964
901,112159,25219,128750,28460
902,99728,10219,111813,9518
903,104327,13734,119688,11380
904,90259,20462,102917,12124
905,113779,9957,116250,9722
906,118929,24704,107656,24587
907,148634,11676,156296,15182
1001,108867,12266,118892,18990
1002,103350,13959,108221,11116
1003,131667,17841,106131,12656
1051,133988,20032,150677,33566
1052,151029,50761,126250,26836
1101,52826,8519,53906,24347
1102.01,72727,10389,86897,11863
1102.02,71859,14237,78359,12998
1103.01,71056,7320,74593,9866
1103.02,94159,15022,100444,14674
1104,104432,8464,98487,6199
1105,96528,15539,114208,21106
1106,103125,8240,94816,16695
2001,66545,15531,72258,12324
2002,70714,12939,66940,21002
2003.01,115670,16912,133594,6885
2003.02,111469,13460,121576,13630
2051,112589,19029,111250,18308
2052,131111,7566,125160,11812
2053,94647,6720,87418,22024
2101,36943,4866,36325,8518
2102,50777,4619,39029,3745
2103,63324,8967,54984,9796
2104,56716,7657,70394,5477
2105,82604,12498,85893,15478
2106,52098,2796,63446,10470
2107.01,53953,11645,54861,12249
2107.02,49940,7699,54217,6509
2108,114219,10942,97196,18646
2109,86801,10578,101076,15656
2110,71379,9516,77372,12843
2111,44844,28830,-,**
2112,77586,14099,76685,16065
2113,87097,4965,99139,7197
2114,85133,11114,98278,18264
2201,116406,19618,101037,13768
2202,98147,16614,121411,11677
2203,82778,7229,101656,3687
2301,108702,12116,106786,17659
2302,117500,8516,129531,13236
2303,132679,30548,118092,22181
2304,123000,11699,124911,13085
2305.01,130446,34749,143315,29302
2305.02,111111,7417,103071,8124
2401,105030,10207,125240,21710
2402,165192,38579,132308,22877
2451,154213,18049,167000,29359
2452,136023,23540,138526,16236
2453,104625,18660,122625,21144
2454,176625,34744,190326,31303
2455,147870,28270,163750,46670
2456,189401,16537,164632,41582
2571,118750,18278,113636,10761
2572,42296,6893,44215,10945
9900,-,**,-,**
3301,91875,6428,94569,5703
4001,77849,7337,77485,11433
4002,100664,10568,115577,17077
4003,85673,9186,91929,14907
4051,66932,12952,71016,8586
4052,70703,14829,64479,5850
4053,60845,5766,56875,8748
4054.01,86579,10811,89875,8891
4054.02,44684,4675,55845,12046
4055,55332,5492,73170,15409
4056,59041,6473,56275,11437
4057,40486,17465,41750,16017
4058,75625,12726,79275,7262
4059,82587,7458,87353,16973
4060.01,39972,6316,41157,6472
4060.02,76917,8206,79346,6424
4061,33438,3940,44612,10299
4101.01,106860,14065,111840,8969
4101.02,106657,12789,133482,14798
4153,27467,8144,33710,5665
4154,52957,9427,39248,6550
4155,26861,2966,31717,11069
4156,32875,6998,39052,9500
4157,52964,10986,60565,10397
4158,42111,6608,46314,5694
4159,27606,7858,25878,7723
4160,38346,4732,39597,7159
4161,31445,8580,24718,7475
4162,28085,8517,31977,3967
4163,33244,7196,37409,4388
4164,77674,13214,83631,12519
4165,47932,9599,55588,24394
4166,34554,4461,24491,5344
4167,42936,12137,47442,8056
4168,51923,11105,54709,10985
4171,13456,7600,18844,5363
4172,55083,13343,31021,4459
4173,-,**,-,**
4174,58092,11791,69388,10648
4175,52273,7264,63038,6428
4204,74444,10153,87028,3432
4205,56730,5811,55091,10154
4206,59195,6042,52376,7671
4207,67948,5522,76196,12578
4301,61728,11200,65543,4994
4302.01,72366,13136,76063,10376
4302.02,105526,10137,116898,8402
4302.03,72534,7715,68706,8184
4303.01,102051,15127,117917,15510
4303.02,74271,14269,84444,16174
4304,74517,15138,79298,7389
4305,93421,13283,117887,20781
4306.01,62773,10935,68750,25047
4306.02,74583,4696,89081,6941
4601,88713,10422,105179,23096
4602.02,106220,11632,102153,16194
4602.03,85278,26321,91912,16917
4602.04,85536,8123,90417,18283
4603.01,91366,6995,100464,17077
4603.02,82125,9837,84022,14884
4621.01,100833,15452,128281,18755
4621.02,141806,24105,177188,28474
4622.01,96607,13854,84607,17318
4622.02,148015,28772,122125,20679
4641.01,101900,13951,116779,10182
4641.02,72292,15814,83233,9242
4661.01,118571,4948,113636,10698
4661.02,124412,14551,116635,17003
4662.01,96875,25428,98056,18728
4662.02,152292,15902,149688,15881
4663,117857,11619,128368,17706
4664,70000,8865,103750,20764
4681.01,102813,11616,125386,13560
4681.02,81835,9245,98856,5891
4701,73074,7291,93385,19712
4711,61389,9711,78311,8546
4712,51483,4398,54583,11263
4713,74350,11926,71138,4217
4714,106277,4250,93214,15723
4715,61646,13602,66888,8217
4731,83036,8738,99324,11017
4734,69323,12689,63008,5182
4735.01,100114,17713,129432,10039
4735.02,85321,8265,86719,10184
4736.01,95245,6150,117227,12711
4736.02,60313,5635,78696,11728
4737,68281,7549,64398,23285
4738,46705,21224,61818,17862
4761,59167,8888,64741,11018
4762,69602,17236,88958,11566
4763,61994,4583,63621,10369
4771.01,96921,7454,113947,10085
4771.02,91551,4958,100525,7947
4772,84000,17189,111563,8785
4803,63421,7933,58547,8398
4804,75949,4779,80872,8971
4805,70000,10160,73056,8004
4806,41851,2812,43106,7312
4807,53147,7973,58906,13718
4808,73323,9110,69132,13661
4809,68938,10590,86563,10285
4810,96513,16662,109293,8135
4811,68333,4946,73194,11669
4812,61281,12675,74500,15144
4813,87625,16295,91181,6743
4841,65653,9822,72468,11767
4842,74253,10920,77376,7376
4871,101909,9469,116991,11241
4872.01,85110,8651,102188,17285
4872.02,130722,15650,150030,6794
4873,90185,13829,100000,35200
4874,97946,12748,103750,14561
4875,81724,8523,77333,10046
4901,59660,4936,65365,9224
4903.02,92564,7877,84200,8145
4921,76506,8440,93986,14198
4922,90708,13608,82721,11750
4923,62048,12290,68770,11261
4924,76745,10289,84399,5321
4925,96314,8208,87813,13789
4926,82099,8311,86576,22530
4941,73172,8376,83979,4995
4942.01,70000,9417,72656,10132
4942.02,87200,7215,80250,9501
4943,81250,9898,80547,12187
4944,75329,12220,75691,9184
4945,72867,14354,81849,9437
4946,72759,12955,73664,5241
4961,51283,6205,46941,8586
4962,67256,8855,79051,7089
4963,68800,12313,91250,16044
4964,95260,11090,116806,25853
4965,137083,16309,131429,36756
4966,108625,20548,127000,23632
4967,55424,5799,66760,8331
4968,56607,9456,71250,16018
4969,55476,4512,80078,9994
4970,124286,11201,175188,19470
4971,67310,9449,68727,6328
4972,112422,18896,111731,10948
4973,104830,13057,125125,24760
4974,115060,10848,140329,20101
4975,107232,17960,83864,17544
4976,90655,11233,129318,17326
4977,137569,15077,199250,27337
5001,22166,6311,28616,4754
5002,29609,12268,23750,8389
5003,19813,8998,23368,1731
5004,23988,7940,29194,4325
5005,20089,17007,41218,7465
5007,-,**,-,**
5009,16662,4186,20670,3945
5012,20871,8916,24814,3776
5013,20608,7243,20833,5781
5014,16114,3929,21128,5087
5015,21685,5830,32147,11308
5017,17500,9309,31420,4561
5018,19254,4511,20849,2636
5021,80990,24212,73147,13025
5023,46853,12336,49583,15716
5024,32245,5756,32771,12228
5025,27760,8007,32670,7183
5026,29566,4610,36992,3630
5027,16336,3671,23682,5094
5028,18247,4003,26703,5072
5029,25733,4934,32273,9408
5030,14583,4070,23389,7084
5031,21301,3624,33264,8593
5033,38708,10252,26154,4152
5035,20071,5289,30208,7646
5037,31635,10901,39276,11911
5038,30027,5269,22344,7385
5039,43346,4278,53864,12045
5040,46382,6057,51577,6912
5041,43750,24402,25857,4773
5042,25951,5371,22869,10356
5043,24083,7572,21250,3425
5045,35946,4727,35172,12712
5048,48987,7361,46694,10399
5049,29965,11136,34358,2218
5101,63750,15153,65667,9239
5102,29667,13634,42622,5413
5103,45962,15865,48538,10681
5104,33398,3005,32156,7367
5105,59068,8508,49645,5421
5106,34256,8634,38039,6285
5107,54470,5824,52005,3446
5108,36187,5376,51364,3686
5109,74818,8803,72963,14136
5110,85938,9168,74773,22891
5111,79000,15876,81341,14457
5112,43375,5838,49167,18495
5113,42600,3456,55929,10788
5114,71786,22635,79365,9679
5141.01,92750,23085,82017,6953
5141.02,62357,8779,83820,6423
5142,52604,13986,67083,13086
5143,78468,7338,67500,10266
5144,50040,4056,55096,9954
5145,74259,12415,63354,9007
5146,36657,5230,51394,8072
5147,49549,10425,40000,11023
5148,58958,13068,39821,13162
5149,76563,9409,83967,3441
5150,98036,16444,93674,12197
5151.01,68125,13899,72125,8009
5151.02,81039,6210,75189,9652
5152,99883,9266,109712,6082
5201,114393,9465,123347,17149
5202.01,152837,17309,149250,14005
5202.02,138594,15137,177969,27298
5203.01,78889,3969,79309,8955
5203.02,67227,11417,65049,11150
5204,109717,13626,109929,9156
5205.01,122401,12224,150833,29186
5241,110718,8396,110250,16106
5242,86807,14232,87609,9668
5243,82358,4702,78799,11426
5244,27328,7648,31546,7347
5245.01,35500,12073,39878,4823
5245.02,34712,7449,54476,10185
5246,31081,3384,36509,7016
5247,42321,5862,64769,12106
9800,-,**,-,**
2501,83750,15813,102250,10451
2531,69703,6630,66438,7545
2532,90240,8456,88063,15785
2533,78523,10770,73947,6595
2534,87428,6292,99505,6203
2535,96370,7988,104596,15497
2536,50938,14191,39188,11675
2602,45992,5180,72411,18068
2611,65625,11344,83217,9814
2621,76117,7048,81442,17053
2632,78021,16050,76563,8368
2651,96250,18319,98750,15257
2661,66641,16608,64464,18296
2671,75865,8275,93975,5371
2681,97031,11130,119167,28619
2901,84861,12915,111198,11370
2931,71691,11824,84583,6625
2961,74333,16193,96026,11442
2983,78190,10794,101042,10709
2984,105057,14203,114926,25673
3001,78438,17791,85000,13067
3004,78261,16963,83950,10154
3005,91563,9557,67500,12519
3031,89688,12358,89107,15693
3061,85598,11632,96291,9648
3101,52393,6568,61628,8832
3102,33125,13095,41157,8842
3103,28908,11077,30729,8018
3104,59741,8662,65673,6448
3105,42636,11787,50688,7338
3106.01,80286,8375,95714,13320
3106.02,51698,6247,74338,6589
3107,54934,13598,69375,8930
3108.01,36060,5628,61953,15509
3108.03,53333,7618,43828,8722
3108.04,43750,21125,61899,8002
3201,65029,15399,46750,9438
3202,59037,4988,67750,10589
3421,80884,11444,91712,7178
3491,68945,12044,85354,10818
3492,63482,19218,61943,3560
3601,85964,14276,80500,17730
3602,100625,9074,103750,9677
3603,69659,10510,59741,10617
3604,69411,5491,68321,10930
3621.01,65700,5798,71960,6126
3621.02,96018,5313,93210,10605
4253,76087,8743,81719,11052
4254,73377,5885,79622,3986
4255,71250,8298,54173,11789
4256,66215,8323,76637,4593
5411,36507,14013,38688,13849
5412,78839,16893,66337,10022
5413,67574,15694,64448,6896
5414.01,104444,10314,112917,16579
5414.02,53551,11071,73872,17321
5415,49773,20442,54023,4894
5416,20828,2584,19519,5469
5417,37162,5031,43673,12776
5420,67544,6287,76313,4666
5421,53182,9620,49763,16230
5422,93333,13867,88384,4556
5501,94075,5528,100884,7113
5502.01,87891,18071,107538,15544
5502.02,86053,16276,88750,13609
5601,117738,12251,110101,7758
5602,70299,8262,69560,4407
5701,77786,12787,99000,14612
5702,111838,15807,87727,23122
5703,71955,11380,69271,14469
5801,87463,9366,103844,15068
5851,109969,10438,116232,7299
5901,89184,8601,105920,10586
5951.01,96837,4092,91875,10695
5951.02,83102,11357,72500,11581
6001,79345,13138,86675,11104
6101,60076,8537,72083,12260
6102,64704,7151,70150,13644
6103,72292,13341,83152,15490
6104,88285,10100,81515,14321
6201,77625,16103,69028,8835
6301,90242,12602,87857,10893
6401,106964,15974,113413,13515
6701,82353,10146,87500,12509
6702,73056,17364,61507,9001
6801,63885,8815,95583,18118
6802,77500,9571,86691,13516
9901,-,**,-,**
1201,68248,8016,68259,15962
1202,47338,10359,50151,12075
1251,86389,7750,83417,12814
1252,51002,9232,40315,6753
1253,39483,12892,41763,8450
1254,45320,6248,43795,14953
1301.01,68983,10229,61913,6559
1301.02,72318,11107,78304,14719
1302,86389,13124,87799,14361
1401,41426,9295,65026,6576
1402,13289,2669,17643,4484
1403,30833,13493,31964,11507
1404,28574,11260,37738,8713
1405,30833,15203,23565,4903
1406,21765,6621,31228,9583
1407,24306,6796,24518,4092
1408,36331,9356,24153,4766
1409,40357,8963,37292,9607
1410,83542,12379,75574,20035
1411,95938,17606,90885,21749
1412,47621,8187,38611,8998
1413,33238,5282,37517,6705
1414,43281,8594,51020,11328
1415,26160,5846,26635,3617
1416,25579,5026,31355,5983
1418,55085,8500,42470,16332
1419,67839,7892,80247,11859
1420,42830,3847,60506,14872
1421,31006,7401,34402,10410
1422,59122,11163,63125,6930
1423,30234,6136,31624,7939
1424,28446,4589,35586,5506
1425,32014,5369,38386,11347
1426.01,43954,4831,40895,7369
1426.03,18611,2638,19771,5738
1426.04,48500,20644,56848,15120
1427,54017,8142,39005,6705
1428,77000,11854,65083,16030
1501,71528,13812,79722,17413
1502,70907,7395,80577,10608
1503,71525,7869,80294,11719
1504,62480,12341,61378,15401
1505,75842,4985,80852,11056
1506,91067,11872,89338,15771
1507,99148,14188,116364,19461
1508,74806,7216,84483,11299
1509,102056,8300,106034,17568
1510,80469,8344,90234,10401
1511,88750,2817,99345,13080
1512,77455,5565,82917,19509
1541,48241,5653,56643,21842
1542,46148,6890,41614,10426
1545,41707,5385,43628,11136
1546,55406,6484,46667,5790
1547,79669,11319,84038,19313
1548,80345,4908,101231,11601
1549,50150,7995,60521,8749
1550,46043,7641,52434,7312
1551,38250,4184,39199,9025
1571,78088,10609,50601,12672
1572,115750,16342,120217,16422
1573,132083,21139,124153,10829
1574,96042,12766,127353,13532
1601,145938,31922,155400,14215
1602,135852,19913,130147,28410
1611,109564,8978,109844,20417
1651,74890,8780,73942,10189
1652,119438,27708,115500,21843
1653,86544,11293,98650,13406
1654,61875,7572,81106,27815
1655,36786,8573,50932,9122
1656,57849,8100,64983,18171
1657,70529,8769,85574,10002
1658.01,60054,6162,60925,7003
1658.02,86657,9965,101250,13263
1659,121694,13426,110089,9637
1660.01,59163,5979,68051,5838
1660.02,64375,16130,72611,14867
1671,106298,5515,108668,11152
1672.01,68417,6650,76250,20003
1672.02,58625,9678,84625,20556
1673,85688,10860,98448,13904
1701,21627,2961,31140,2871
1702,18036,4982,34875,5998
1703,33179,7457,39450,5570
1704,58125,13822,61250,10463
1705,82202,10433,74943,13488
1706,45490,7566,52614,13389
1707,54208,15554,55000,12821
1708,44966,6517,49645,6513
1709,36326,9551,49435,11311
1710,22097,17940,33679,1797
1711,56958,6784,64570,6829
1712,77040,4726,89799,7586
1713,64085,6893,61125,11606
1714,37304,6121,43825,3431
1715,41055,14866,43886,6699
1716,63024,7221,64019,7854
1717,81439,10368,79356,12462
1751,64167,6639,62833,7214
1752,62000,14979,60625,10991
1753,60458,10115,72880,5153
1754,54116,6410,62216,10767
1755,80466,10105,69974,10357
1756,83021,14534,86203,4675
1757,102500,15461,98750,12577
1758,111979,21665,111042,21014
1759,64219,11937,71905,16018
1760,103750,13169,89637,16391
1801,68596,6543,60826,9652
1802,65121,7359,58874,9555
1803,40801,3936,47083,14332
1804,63892,9248,77692,11909
1805,61779,8482,70156,11650
1806.01,60286,10416,70603,9350
1806.02,69310,8210,93036,9790
1841,56931,8602,56927,12008
1842,64867,12211,60068,7515
1843,67944,10088,94453,22386
1844,91977,8265,67679,23030
1845,86176,13884,104583,8604
1846,100938,22712,115278,22654
1847,68345,4795,70739,19432
1861,78535,5690,79482,12862
1862,95417,7535,85833,13958
1901,74728,19493,82788,9690
1902,88906,20965,109549,11814
1903.01,118836,17929,129144,11262
1903.02,90859,27101,101484,13648
1903.03,103984,18555,109554,21421
1941,93646,13892,77151,11106
1942.01,114208,11501,113661,11814
1942.02,122063,28186,131346,20854
3411,79207,6695,88355,14912
3431.01,125461,17881,116226,9307
3431.02,102418,7004,88828,28104
3432,113370,11311,108625,13668
3433,93669,10952,101988,9860
3434,114226,7849,119053,28357
3441,93831,6733,100069,10747
3442,105299,7038,122500,25536
3451,62823,8076,57532,8137
3452.01,72717,17682,74727,17306
3452.02,72107,12889,83536,12580
3453,42668,4616,56094,11383
3454,62970,4181,64792,5595
3461.01,104181,10776,99967,10337
3461.02,115583,17838,115052,22862
3471,89205,14128,102254,17133
3472,96270,5638,103667,16172
3481.11,96149,21416,110625,17982
3481.22,120625,17946,133606,11534
3481.23,102845,15113,119821,22913
3481.24,43346,8172,56726,7727
3481.25,44732,9962,63589,10263
3501,11162,1425,11974,1332
3502,26278,6013,26250,13737
3503,27206,4282,25658,7559
3504,24250,6058,18472,3734
3505,20330,2908,24201,5125
3508,30558,8206,27297,9748
3509,70795,25416,67716,15042
3510,38092,6390,50534,5235
3511,37702,10230,34049,5480
3512,29706,6699,28529,7162
3513,45641,6980,49964,8309
3514,36105,6878,30792,6156
3515,60019,10750,53990,13797
3516.01,53942,13619,42684,6616
3516.02,59688,9220,49958,12722
3517,26181,3890,27464,7359
3518,46288,10687,58860,8166
3519,66667,6050,75547,13033
3520,75527,9444,77361,10518
3521,56129,16881,52182,5991
3522,27255,5875,26228,4727
3523,38152,10190,49893,12793
3524,53285,19659,38261,19351
3525,44639,7533,53094,4078
3526,45093,6571,52331,9686
3527.01,37963,8297,31047,6444
3527.02,49391,5606,56509,12933
3528,45450,4764,51555,9218
3611,81919,15403,84391,13663
3612,69176,12328,85556,15242
3613,85449,5746,90625,12651
3614.01,29114,9322,30136,3331
3614.02,40694,56188,55625,31347
3615,43233,2865,51361,7068
9900,-,**,-,**
6501,86250,19232,84922,14343
6601.01,92420,7565,85509,13281
6601.02,89792,22482,105403,12697
6903,42977,6155,36745,3062
6904,42222,3901,43793,6317
6905,25852,6013,21538,8817
6907,38170,8771,46389,9008
6908,49746,14398,39375,15266
6909,61624,4426,61637,17079
6933,76235,4807,78476,12272
6934,62188,2928,51470,4754
6935,84896,15196,97083,12397
6936,76618,11379,93569,3720
6937,90625,12552,82284,12003
6952.01,62604,15380,66548,13570
6952.02,74409,5820,84808,14046
