geography,before,beforemoe,after,aftermoe
Bethel,88024,5083,97289,8779
Bridgeport,39822,1597,44841,1451
Brookfield,111096,6658,113009,9162
Danbury,66281,2160,68068,4517
Darien,200724,17216,208848,19433
Easton,142434,13939,136786,21119
Fairfield,119924,4844,127746,7055
Greenwich,129588,4383,138180,6882
Monroe,112605,8600,109631,9263
New Canaan,167037,17942,174677,16049
New Fairfield,98209,11520,104402,3934
Newtown,116024,5146,115137,7367
Norwalk,75446,2353,81546,3262
Redding,120223,18743,129763,10273
Ridgefield,148104,15670,151399,13410
Shelton,83755,2998,89250,3193
Sherman,118750,18278,113636,10761
Stamford,76797,1773,84893,3495
Stratford,67375,3450,72757,4005
Trumbull,108667,4596,115346,3812
Weston,213423,28391,219868,24534
Westport,152586,17396,181360,23380
Wilton,161906,13711,180313,21960
Avon,111768,10969,125536,7099
Berlin,85735,3967,93328,8009
Bloomfield,71579,4579,73593,2852
Bristol,58814,1713,64586,3272
Burlington,106756,6306,121635,8285
Canton,86136,6964,90594,6895
East Granby,73074,7291,93385,19712
East Hartford,48438,3595,52049,2108
East Windsor,71310,4831,75056,6723
Enfield,68356,2568,73494,2578
Farmington,88467,6568,94785,5886
Glastonbury,106872,5468,111645,5624
Granby,97851,7390,111220,14961
Hartford,28931,1054,33841,1583
Hartland,91875,6428,94569,5703
Manchester,63656,3217,67325,3124
Marlborough,110718,8396,110250,16106
New Britain,39898,1788,43611,2348
Newington,75237,2401,79181,3688
Plainville,61766,3105,62459,6373
Rocky Hill,76128,7790,79421,7885
Simsbury,117577,4914,116444,7194
Southington,78668,4071,90796,4014
South Windsor,91519,4993,105986,6047
Suffield,92019,4764,105777,6983
West Hartford,81588,2837,95298,3452
Wethersfield,76196,3858,81452,3220
Windsor,77377,3321,89565,6075
Windsor Locks,62640,4297,67072,4308
Barkhamsted,84861,12915,111198,11370
Bethlehem,80884,11444,91712,7178
Bridgewater,83750,15813,102250,10451
Canaan,58021,9971,77417,9943
Colebrook,71691,11824,84583,6625
Cornwall,78021,16050,76563,8368
Goshen,74333,16193,96026,11442
Harwinton,89429,5654,104205,13896
Kent,66641,16608,64464,18296
Litchfield,84063,8795,78375,7657
Morris,89688,12358,89107,15693
New Hartford,85598,11632,96291,9648
New Milford,84110,4881,83676,4572
Norfolk,78214,21775,74844,6169
North Canaan,45992,5180,72411,18068
Plymouth,73603,4944,73430,6329
Roxbury,97031,11130,119167,28619
Salisbury,65625,11344,83217,9814
Sharon,76117,7048,81442,17053
Thomaston,67426,9020,67639,5213
Torrington,50548,3160,61313,2401
Warren,96250,18319,98750,15257
Washington,75865,8275,93975,5371
Watertown,80899,5873,77946,8020
Winchester,60994,7000,57468,6143
Woodbury,80167,13997,82923,8151
Chester,79345,13138,86675,11104
