Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
353,3882,215,4095,261
354,5191,266,5294,247
425,4141,282,3960,226
426,4442,321,3982,235
427,4886,339,4893,412
428,4800,393,4868,484
429,1606,116,1568,108
430,2997,370,3155,316
431,4945,291,4746,277
432,3337,533,2993,283
433,3418,384,3316,375
434,4277,391,4276,386
435,3000,229,2505,146
436,3275,198,3052,267
437,2140,282,2106,275
438,8613,793,7663,715
439,5142,612,6259,531
440,5163,759,6380,722
441,3125,484,3350,381
442,3433,402,3997,494
443,3614,253,4169,307
444,3118,428,3760,350
445,2687,378,4152,396
446,3694,362,3387,192
451.01,4366,238,4158,236
451.02,5782,241,5929,315
452,2507,197,2370,148
453,2494,197,2586,177
454,3052,222,3616,257
501,4036,276,4264,228
502,3917,294,4050,187
503,8309,352,8622,504
504,2576,274,2394,229
505,4487,249,5098,272
506,3191,257,3349,285
551,5769,289,5624,309
552,4434,286,4745,311
601,4056,362,4460,425
602,4115,259,4606,284
603,3973,290,3972,187
604,4536,265,4366,212
605,2821,165,2799,150
606,2363,201,2388,172
607,7994,484,8048,408
608,2039,139,2132,105
609,2678,139,2568,117
610,3911,252,4037,250
611,3638,221,3909,223
612,2096,135,2270,213
613,3080,258,3159,259
614,2645,236,2993,289
615,4462,268,4644,317
616,5155,404,5260,393
701,5282,539,4991,598
702,3452,429,4439,509
703,1207,210,1306,153
704,1583,399,1624,229
705,1946,304,2254,323
706,2115,285,2435,245
709,2698,319,2595,271
710,4263,468,3820,410
711,4634,650,4804,639
712,5206,509,5877,579
713,3924,556,2798,384
714,3516,533,3801,465
716,2361,451,2425,285
719,5123,634,4702,585
720,2974,445,3903,415
721,5565,768,5445,512
722,3956,497,3984,419
723,5810,545,5721,514
724,2852,300,2779,376
725,6013,637,6129,558
726,7856,622,7923,765
727,3333,278,3965,344
728,6374,530,5458,606
729,5148,437,4817,341
730,1845,168,1795,225
731,5395,662,5833,666
732,2817,328,2566,270
733,3145,438,3510,348
734,4315,432,4569,488
735,3087,480,3441,422
736,2381,375,2533,342
737,4334,432,4653,433
738,2873,422,2244,295
739,2917,567,3805,533
740,2109,248,1741,256
743,4040,529,4490,474
744,4096,561,4657,434
801,4999,433,4929,447
802,4395,357,4231,348
804,6117,793,5694,538
805,3227,303,3117,270
806,2072,245,2475,162
807,1846,248,2123,192
808,4803,249,4684,242
809,4983,278,5084,317
810,4235,267,4372,345
811,4884,213,4943,292
812,5233,261,5317,321
813,4646,291,5560,455
901,3150,191,3547,228
902,8180,308,8231,457
903,4501,208,4714,236
904,6373,403,6824,363
905,4696,234,4571,253
906,3441,266,3187,251
907,5667,205,5381,287
1001,5315,271,6148,383
1002,6982,294,7445,387
1003,7232,335,6173,412
1051,4048,148,4145,194
1052,3453,147,3462,192
1101,2395,389,2572,279
1102.01,4736,339,5086,361
1102.02,4729,217,4950,430
1103.01,6108,290,6411,349
1103.02,2719,206,2910,375
1104,4827,226,5011,300
1105,5871,235,5996,428
1106,8256,358,8346,463
2001,3240,233,3717,246
2002,5028,259,4969,449
2003.01,5107,272,5293,268
2003.02,5329,248,5547,273
2051,4037,213,4311,337
2052,6870,272,6773,346
2053,5580,308,5980,334
2101,5626,690,5780,687
2102,6602,631,6237,599
2103,5726,657,6163,520
2104,8813,522,9274,772
2105,6629,630,8145,658
2106,6541,667,6635,933
2107.01,4826,703,5236,602
2107.02,4631,454,4510,404
2108,5589,429,5824,527
2109,5372,323,5300,381
2110,4027,293,4388,449
2111,1210,193,956,176
2112,6445,462,6803,627
2113,3629,260,3910,288
2114,5391,385,5412,461
2201,5247,338,5112,222
2202,4735,307,5411,235
2203,3950,291,3568,269
2301,6934,389,6977,422
2302,1987,110,1972,117
2303,3067,155,3719,181
2304,6112,329,6306,297
2305.01,4095,364,4199,270
2305.02,5348,447,4857,325
2401,4709,191,4552,245
2402,4439,191,4722,252
2451,2881,145,3021,159
2452,4247,284,4397,274
2453,5246,308,5179,355
2454,3576,219,3202,212
2455,2770,217,3066,304
2456,5928,296,6341,330
2571,3615,33,3654,29
2572,3901,456,3754,523
9900,0,12,0,12
3301,2198,132,2083,140
4001,7416,326,7355,381
4002,5757,286,5936,338
