Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
Bethel,41.8,3.5,43.6,3.1
Bridgeport,15.9,1.1,18.1,1
Brookfield,50.6,4,51,3.5
Danbury,31,1.7,30.6,1.6
Darien,79.1,2.2,81,1.9
Easton,65.1,4.7,58,4.3
Fairfield,60.5,1.8,63.4,1.7
Greenwich,64.1,1.7,65.5,1.7
Monroe,48,3.3,47.1,3.4
New Canaan,76.6,2.4,77.1,2.9
New Fairfield,45.5,3,48.6,3.3
Newtown,51.1,3.1,55.9,2.4
Norwalk,41.6,1.5,41.1,1.4
Redding,68.1,3.8,66.7,3.5
Ridgefield,70.7,2.5,76,2.3
Shelton,35.8,2,39.4,2
Sherman,57.2,5.9,47.7,7.2
Stamford,43.6,1.1,47.6,1.5
Stratford,29,1.5,33.4,2
Trumbull,51.6,2.4,52.7,2.2
Weston,80.2,3.5,83.2,2.8
Westport,74.7,2.3,76.4,1.7
Wilton,75.3,2.7,76.5,2.4
Avon,66.8,2.3,68.9,2.8
Berlin,36.3,2.8,39,3.2
Bloomfield,36.8,2.7,36,3.2
Bristol,23,1.3,26.4,1.5
Burlington,44.9,5,49.2,3.7
Canton,50.2,4.4,54.3,4.2
East Granby,37.2,5.2,56.4,6.1
East Hartford,19,1.8,18.7,1.6
East Windsor,26.9,4.3,34.5,4.3
Enfield,23.2,1.5,26.3,1.7
Farmington,56.8,2.6,56.7,2.7
Glastonbury,59.3,2,60.6,2.4
Granby,55.5,4.3,55.2,4
Hartford,14.8,1,16.6,1
Hartland,34.6,4.6,32.1,5
Manchester,35.9,1.9,39,1.4
Marlborough,47.6,6.5,49.4,6.2
New Britain,18.3,1.3,18.4,1.5
Newington,33.7,1.9,39.3,2
Plainville,21.7,2.9,28.6,3.5
Rocky Hill,42.5,3.1,49.7,3
Simsbury,63.8,2.4,66.9,2.4
Southington,33.6,1.8,39.7,1.9
South Windsor,45.6,3.3,49.8,2.8
Suffield,37,3.1,39.9,3.6
West Hartford,59,1.4,62.5,1.5
Wethersfield,40.1,2.4,41.7,2.5
Windsor,35.2,2.3,40.9,2.4
Windsor Locks,21.2,3.1,23.8,3.2
Barkhamsted,43,6.2,44.1,6.8
Bethlehem,36.9,6,40,5.9
Bridgewater,47.7,5.1,56.9,5.2
Canaan,39.3,6.4,40.5,5.9
Colebrook,29.7,4.7,29.3,6
Cornwall,61.4,6.1,53.8,6.1
Goshen,47.2,7.7,37.8,6.2
Harwinton,36.2,4.4,35.7,4.8
Kent,46.1,7.8,46,6.6
Litchfield,42,3.3,41.3,4
Morris,33.7,6,40.2,6.3
New Hartford,39.3,5.8,46,6.9
New Milford,38.1,2.6,39.7,3.3
Norfolk,40.8,5.8,43.9,5.3
North Canaan,17.6,5,22.4,5
Plymouth,19.5,2.9,24,3.5
Roxbury,55.1,7.3,62.1,4.9
Salisbury,58.5,7.4,59.6,7.5
Sharon,36.3,6.5,48.8,7.6
Thomaston,24.8,3.5,25.9,4
Torrington,19.2,1.7,22.6,1.9
Warren,43.1,6.1,45.3,5.1
Washington,44.4,6.8,57.4,7.3
Watertown,33.1,3.1,32.2,2.8
Winchester,19.1,3.3,24.3,3.8
Woodbury,48.3,4.2,47.9,3.8
Chester,39.1,5,42.3,6.6
Clinton,35.7,3.3,37.8,2.8
Cromwell,38.1,3.5,45.7,3.4
Deep River,33.8,6.2,37.8,4.3
Durham,47.7,5.5,48.5,5.7
East Haddam,35.5,4.7,34.1,4.6
East Hampton,40.1,3.8,38.7,3.5
Essex,53.2,4.8,55.5,6.2
Haddam,43.2,5.6,46.2,5.1
Killingworth,51.7,5.5,47.7,5.1
Middlefield,35.5,5.4,39,5.5
Middletown,34.7,2,36.4,2
Old Saybrook,44.5,4.6,42.6,4.3
Portland,40.4,4,38.3,5.2
Westbrook,36,5.4,42.6,4.7
Ansonia,16.3,2.4,20.1,2.7
Beacon Falls,31.2,5.3,30.3,6.4
Bethany,54.2,5.1,45,5.8
Branford,42.5,1.9,42.9,2.7
Cheshire,49.9,2.9,53.4,2.7
Derby,25.8,4.6,24,3.8
East Haven,19.3,2,23.7,2
Guilford,54.3,3,60.6,3.1
Hamden,43.9,2.1,44.9,1.9
Madison,64.3,2.7,63.8,3.1
Meriden,19.8,1.4,22.5,1.7
Middlebury,47,4.3,55.2,4.3
Milford,39.8,1.8,41.4,1.7
Naugatuck,22.3,2.2,27.6,3.6
New Haven,32.7,1.2,33.9,1.3
North Branford,38,3.7,32.8,3.6
North Haven,38.9,3,41.1,2.6
Orange,55.9,3.4,57.5,3
Oxford,40.6,4.3,37.2,4.3
Prospect,32.4,3.7,37.9,4.6
Seymour,26.5,3.3,32.6,3.8
Southbury,44.4,3.3,51,2.9
Wallingford,33.4,2.1,36.5,1.9
Waterbury,16.8,1.1,15.9,1
West Haven,21.4,1.7,24.1,1.8
Wolcott,24.9,3,29.2,3.5
Woodbridge,67.9,4.7,67.9,4.3
Bozrah,21.8,4.1,29.5,4.8
Colchester,39.1,3.1,38,3.7
East Lyme,38.5,3,44.3,2.7
Franklin,27.4,4,26.3,3.4
Griswold,18.2,3.6,20,3.6
Groton,33.4,1.8,36.6,2.4
Lebanon,33.7,5.3,41.3,5.4
Ledyard,37.5,4.3,39.9,3.7
Lisbon,23,5.2,19.9,3.5
Lyme,60.1,5.2,59.9,6.2
Montville,19,2.6,21.3,2.8
New London,21.3,2.5,25.3,2.6
North Stonington,44.2,6.4,30.3,6.4
Norwich,20.9,1.7,19.1,1.7
Old Lyme,54.2,3.7,54.3,3.8
Preston,19.6,4.5,22.8,4.1
Salem,43.3,5.7,44.5,5.7
Sprague,25.3,6.5,20.1,4.5
Stonington,45.1,2.9,48,2
Voluntown,20.3,4.2,19.2,4.1
Waterford,36.5,2.9,38.2,2.7
Andover,36.1,7,43.6,6.5
Bolton,39.8,5.1,48.7,4.5
Columbia,40.3,5.9,43.7,5.9
Coventry,33.3,4,39.8,4.8
Ellington,37.3,3.8,46,4
Hebron,49.5,4.2,49.8,4
Mansfield,48.7,4,54.1,4.5
Somers,30,3.2,31.6,3
Stafford,19.9,3.8,21.8,2.9
Tolland,46.1,3.8,45.2,4
Union,29.6,8.7,35.2,5.7
Vernon,31.8,2.4,34.5,2.6
Willington,40.9,6.5,32.2,5.9
Ashford,41.2,6.2,35.7,5.6
Brooklyn,22.5,4.5,27.5,4.5
Canterbury,20.2,5.3,21.6,4.2
Chaplin,28.1,6,24.7,4.6
Eastford,33.9,5.8,33.4,5
Hampton,37.5,5.8,28.7,4.7
Killingly,18.9,2.9,22.4,3
Plainfield,12.4,2.5,14.1,3.1
Pomfret,37.1,6.8,44.1,5.2
Putnam,18.3,3.9,24.1,3.7
Scotland,22.6,5.7,29.2,6.5
Sterling,14.3,5.1,14.7,4.9
Thompson,22.3,3.7,26.5,4.9
Windham,18.1,2.2,19.6,2.3
Woodstock,38.4,5.1,41,5.3
101.01,58.9,6.9,63.2,5
101.02,78.6,6,78.5,4.8
102.01,72.1,7.1,78.6,5.9
102.02,70.9,5,70,5.4
103,75.2,5.5,81.3,5
104,42.9,7.2,54.7,8.3
105,47.3,8.3,44.4,7.2
106,69,9.1,71.1,10
107,55.2,6.5,53.2,6
108,65.4,7.1,70.4,6.2
109,60.9,5.3,63.9,4.7
110,82.5,4.7,78.8,3.8
111,83.6,4.2,82.9,5
112,69.3,8.5,74.2,7.2
113,41.4,6.9,38.5,6.5
201,36.5,7.4,50.7,7.2
202,69.7,7.9,72.6,7.3
203,69,5.5,74.9,5.4
204,64.6,7.1,64.1,6.3
205,68.4,4.8,65.4,5.2
206,42.5,6.8,49.8,5.8
207,47.7,6.8,58.4,6.9
208,60.5,6.4,61.3,5.5
209,44.2,6.2,42.7,7.6
210,43.4,8.6,52.6,7.9
211,48.6,6.3,46.2,6.9
212,54.9,5.4,59.8,5.1
213,40.9,6.2,43.1,5.3
214,19.7,5.7,23.3,5.4
215,14,6.2,14.3,3.5
216,56.5,6.4,66.2,7.2
217,58.8,5.8,64.6,6
218.01,46.9,7,45.9,6.8
218.02,24,6.2,31.3,5
219,33,7.7,32.8,7.6
220,36.8,7.9,30.9,6.9
221,22.1,5.2,25.8,5
222,17.5,5.4,33.5,5.3
223,31.6,6.2,33.1,6.7
224,68.3,7,74.6,5.1
301,86.4,4.3,83.2,4.4
302,80.1,6.3,87,3.6
303,88,4.3,89.4,3.8
304,67.7,6.1,68.1,6.3
305,75.3,4.3,79.3,4
351,69.4,4.6,68.7,5.2
352,85.5,5,90.3,4.9
353,79.6,5.1,81.2,5.4
354,80.8,3.9,80.6,5
425,50.6,6.7,54.2,7.6
426,49.1,5.6,50,5.4
427,51.1,6.1,46.7,8
428,43.2,6.6,38.4,5.3
429,62.6,7.6,69,7.1
430,48,8,54.1,6.4
431,54.2,5.2,47.6,4.9
432,33.3,7.8,39.7,7.3
433,34.5,8,31.3,7.5
434,28.6,5.7,35,6
435,35.9,6.5,45.9,5.3
436,41.4,6,41.6,6.7
437,28.9,10.5,41,7.5
438,33,6.3,32.5,5.7
439,42.7,6.1,41,8.4
440,28.3,8.4,21.8,5.7
441,35.9,6.2,46.9,7.7
442,38.9,7.5,36.6,6.1
443,50.1,7.1,48.1,5.1
444,30.5,7.1,23,5.9
445,18.8,6.7,14.6,6.3
446,77.3,5.2,74.7,7
451.01,81,6,81.1,4.6
451.02,71,4.9,74.1,5.4
452,78.7,4.6,73.2,6.2
453,73.8,6.9,82.4,4.4
454,73.7,6.9,73.4,4.9
501,82.1,4.7,84.7,4.4
502,71.8,5,79.5,4.4
503,76.8,4.3,74.6,4.7
504,58.6,10.5,65.9,6.3
505,76.2,4.8,71.2,5.2
506,75.5,6.2,82.9,4.3
551,80.2,3.8,79.6,4.6
552,80.3,5.5,88,2.7
601,51.9,6.5,48.8,5.9
602,58.1,6.5,63.7,5.3
603,61.3,6.6,70.2,5.5
604,79.6,5.2,79.9,4.5
605,75.5,4.7,73.9,4.7
606,61.7,8.4,74.1,6.4
607,65.4,4.5,68.5,4.2
608,70.4,5.7,67.9,5.3
609,53.9,6.2,60.1,5.5
610,44.5,6.2,46.1,6
611,67.7,6.7,73.6,6.2
612,45,7.2,45.2,6.4
613,46.8,8.2,44.2,8.5
614,45.7,8.5,41.3,6.3
615,66,5.1,71.1,7.1
616,64.3,6,70.5,7.6
701,53,8.2,48.4,9.2
702,22.5,8.5,17,3.9
703,1.2,2.2,4.7,4.9
704,48.8,10.1,45.5,10.1
705,22.2,9.3,40.8,12.2
706,13.1,5.1,26.6,7.6
709,8.5,3.8,13,5.2
710,9.1,4.5,12.3,5.4
711,7.7,3.4,11.6,5.1
712,8.8,3.6,10,3.8
713,5.4,3.9,8,4.6
714,7.3,4.2,9.2,4.7
716,4.7,3.6,5.3,3.8
719,7.3,2.8,11.7,3.3
720,18.3,7.2,20.9,5.5
721,31.4,6.5,28.5,6
722,16.7,5.1,22.5,5.8
723,14.8,4.2,14.4,3
724,18.7,5,20.5,5.9
725,20.7,5.9,23.8,6.7
726,26,5.7,28.4,7.1
727,23.9,6,28.3,6.9
728,11.6,4.6,16.9,3.9
729,16.6,4.7,14.9,4
730,15,5.7,23.2,6.5
731,14.7,4.9,20.7,4.7
732,9.3,5,22.5,8.1
733,15.8,8.4,11,4.3
734,15.1,4.9,13.3,4.9
735,2.5,3.3,8.1,4
736,4.3,3.3,1.9,1.8
737,9.1,3.1,7.9,4.2
738,4.4,5,7.6,3.4
739,7.7,4.3,3.9,3.4
740,6.8,6.6,7.7,4.6
743,4.1,2.8,14.6,4.4
744,9,4.7,6.2,3
801,17.5,5.1,21.5,5.7
802,12.6,4.5,21.7,6
804,12.8,4.8,15.8,7.5
805,44.3,6.5,41.1,7.2
806,31.4,7.9,45.6,6.2
807,40.4,7.2,28.2,4.9
808,37.4,6.9,47,5.1
809,25.9,5.1,35.2,5.5
810,18.5,4.9,24.4,4.5
811,33.4,4.8,33.1,4.3
812,38.3,5.4,43.8,5.7
813,43.7,5.6,44.9,6.9
901,55.8,6.4,63.9,5.8
902,49.3,4.6,53.6,5.7
903,46.6,5.9,45.8,6.3
904,47.9,6.8,45.8,6.6
905,55.4,5.4,53.2,5.5
906,52.6,5.6,54.7,5.8
907,57.4,5.1,57.6,5.4
1001,57.6,5.5,50.6,7.7
1002,41.9,5.4,43.7,5
1003,46.6,6,47.8,6.1
1051,67.2,5.5,64.7,5.7
1052,62.3,6.9,50.4,7
1101,16.1,5.1,29.5,8.2
1102.01,27.5,5.3,31.6,5.9
1102.02,31.8,5.5,32.5,4.6
1103.01,43.7,4.8,43.3,5.9
1103.02,37.2,8.8,41.6,7.8
1104,36.5,5.7,47.8,5.2
1105,37.4,5.9,39.9,4.9
1106,40.2,5.9,42.1,4.9
2001,36.3,7.7,34.2,6.4
2002,38.7,6.8,43.2,7.6
2003.01,44.3,5.7,43.2,5.3
2003.02,45.7,5.9,51,5.3
2051,46.9,5.7,51.1,5.7
2052,51,7.2,57.7,6.6
2053,52.8,6.3,43.4,5.2
2101,15.2,4.9,15,5.2
2102,12.8,3.9,9.5,3
2103,18.9,5.8,17.4,4.4
2104,29.1,4.3,30.1,6
2105,42.5,6.6,52.9,6.3
2106,21,5.1,18.8,5.2
2107.01,10.9,4.1,13,3.5
2107.02,25.1,7.2,17.6,4.4
2108,51.7,4.8,44,6.2
2109,42.3,6.6,48.1,6.3
2110,30.9,6.3,30.9,5.1
2111,7.9,4.6,8.8,4.6
2112,48.1,6.3,35.6,5.7
2113,39.4,5.9,40.9,6.8
2114,45.5,5.3,44.6,6.5
2201,49.4,5.5,49,6
2202,39.4,4.6,52.1,5
2203,47.5,6.4,43.5,6.6
2301,45.7,6.8,55.7,6.2
2302,56.4,4.8,62.2,4.6
2303,63.6,6.2,61.3,7.3
2304,49.8,6.2,54,5.6
2305.01,56,7.7,64.7,5.9
2305.02,46.4,6.2,45.4,4.9
2401,68.1,4.8,63.6,4.9
2402,68,5.7,69.9,5.5
2451,71.2,6.7,77.1,4.4
2452,63.2,5.9,67.6,5.4
2453,62.3,6.4,75.5,5.1
2454,71.5,6.3,77.4,4.8
2455,82.5,4.3,78.7,6.8
2456,77.6,5,80.1,5.1
2571,57.2,5.9,47.7,7.2
2572,10.7,3.6,16.5,6.1
9900,-,**,-,**
3301,34.6,4.6,32.1,5
4001,27.3,5.5,32.9,5.3
4002,49.1,5.1,46,6.1
4003,35.3,5.6,39.6,6.9
4051,31.8,7.8,32.7,6.7
4052,17.5,3.8,22.3,4.3
4053,20.6,4.2,16.6,3.9
4054.01,28.5,7.2,33.8,5
4054.02,23.9,6.3,33.1,9.9
4055,20.1,6.5,31.7,6.5
4056,14.5,3.4,20.1,4.3
4057,16,6.5,7.8,4.9
4058,32.9,4.7,33.6,6.1
4059,32.2,5.2,34,4.6
4060.01,11.6,3.5,19.7,5
4060.02,27.9,5.7,33.5,5.8
4061,18.8,6,17.6,5.3
4101.01,42.5,7.4,44.2,5.5
4101.02,48.1,8.3,55.8,4.3
4153,17.4,7.8,6.5,3.2
4154,15.4,5.2,14.4,5.1
4155,14.4,6,11.3,5.4
4156,18.3,6,9.5,3.8
4157,26,7.4,23.8,5.4
4158,19.7,6.5,23.1,10.7
4159,8.9,5.6,5.9,4.3
4160,12.8,4.5,12.2,4.9
4161,10.1,3.9,9.4,3.4
4162,11.1,5.6,5.6,3.6
4163,8,3.1,9.3,5.3
4164,32.3,5.7,44.6,6.6
4165,16.6,4.6,22.4,4.6
4166,12.7,4.5,11,5.9
4167,14.4,3.7,18.8,6
4168,22.8,5.9,20.5,6.4
4171,6.8,4.4,2.3,1.5
4172,40.4,13.5,27,7.4
4173,26.3,60.8,0,55.1
4174,48.5,7.8,47.2,9
4175,22.4,4.8,25.3,6.1
4204,20.7,5.1,36.5,6.3
4205,22.8,5.2,27,7.4
4206,21.1,5.6,28.2,5.5
4207,22,4.4,25.1,5.1
4301,26.6,4.8,29.7,5.1
4302.01,28.3,5.5,40.6,6.4
4302.02,48.1,4.4,47.8,4.3
4302.03,33.6,5,41.5,4.9
4303.01,41.5,7.1,46.4,5.7
4303.02,31.6,7.2,34.5,7.5
4304,30.7,6.3,37.7,6.6
4305,32.5,4.9,47.8,6.6
4306.01,28.2,6.1,33.2,7.5
4306.02,35.2,6.1,32.4,5.4
4601,58.2,6.3,44.9,6.2
4602.02,66.5,6.2,64.8,5.2
4602.03,76,6.9,70.6,6.9
4602.04,47.4,6,58.6,6.8
4603.01,55.5,5.3,49.9,5
4603.02,45.5,6.4,53.5,5.8
4621.01,61.9,4.7,70.3,5.6
4621.02,74.6,6.1,76.5,4.8
4622.01,63.4,5.8,55.7,5.9
4622.02,74.2,5.5,80.4,4.5
4641.01,56.1,5.4,59.6,6.5
4641.02,43.8,6.8,49.1,6.5
4661.01,60.5,5.5,69.3,4.1
4661.02,70,4.1,67.6,5
4662.01,61.5,9.4,60,6.3
4662.02,72.6,4.5,72.5,5.5
4663,63.1,5.5,66.1,8.2
4664,44.8,7.5,59.2,7.3
4681.01,60.8,5.5,58,5.8
4681.02,46,7,50.8,4.7
4701,37.2,5.2,56.4,6.1
4711,14,4.2,13.7,5.1
4712,17.9,5.3,15.7,5.8
4713,39.4,5.7,45.6,6.4
4714,55.6,5,54.2,6.7
4715,40.8,7.1,34.4,6
4731,25.8,4.9,38.2,6.3
4734,35.7,7.3,36.6,6.7
4735.01,52.5,4.9,58.3,5.7
4735.02,33.7,5.8,44.7,7.4
4736.01,44.1,6.5,52.8,5.7
4736.02,35.8,9.1,43.5,7.6
4737,29.9,6.6,26.4,5.8
4738,22.2,6.1,24.2,8
4761,22.3,5.2,24.3,5.3
4762,23.2,5.7,27.2,4.7
4763,19.1,5.2,21.5,5.6
4771.01,48.8,6.2,53.7,5.7
4771.02,31.9,4.2,31.1,4.9
4772,36.1,7.1,47.8,6.1
4803,18.4,5.3,21.1,6
4804,23.5,5.6,27.9,5.7
4805,20.4,4.9,19.3,5.8
4806,17.1,6.2,19.9,5.3
4807,36.8,7.1,29,6.5
4808,27.5,5.5,34.5,5.7
4809,16.6,3.7,28.6,6.4
4810,34.4,6.1,37,6.1
4811,22,5,21.1,5.4
4812,25.2,5.4,31.8,5.2
4813,22.1,5,29.6,5.9
4841,23.7,6.2,34.6,5.6
4842,30.2,5.6,34.5,6.1
4871,44.8,6.7,49.2,6.3
4872.01,43.2,6,46.9,4.8
4872.02,58.8,9.1,68.4,5.2
4873,34.8,7.5,35.5,7.2
4874,38.7,5.3,45.4,5.5
4875,46.7,5.9,48.4,6.3
4901,34.8,6.8,44.2,5.9
4903.02,51.3,4.4,55.5,4.4
4921,48.6,6.4,47.9,7.1
