Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
4922,39.6,4.7,41.1,5.1
4923,28,6,26.1,5.5
4924,37.9,6.8,44.6,6.9
4925,46,5.5,48.2,5.6
4926,44.2,5.3,47.3,6.7
4941,34.7,7,39.9,5.3
4942.01,27.5,5,34.7,5.2
4942.02,52.9,7.1,56.2,5
4943,32,5.4,38.7,4.9
4944,31,4.9,39,5.3
4945,28.3,5,39.6,5.8
4946,38.4,6.4,34,5.2
4961,27.9,7.9,26.6,7.1
4962,35.1,5.2,39.6,5.1
4963,59.1,6.9,57.3,5.2
4964,54.7,7.9,67.1,5.9
4965,73.6,6.5,78.8,4.9
4966,71.4,5.3,70.8,5.5
4967,45.8,5.7,46.4,6.2
4968,32.7,6.8,34.5,6.8
4969,56.9,8.6,57.3,6.5
4970,76.6,4.5,81.2,3.4
4971,63.9,6.1,65.7,5.7
4972,58.7,7.4,67,6.1
4973,61.3,5.7,67.7,4.4
4974,73.7,4.7,82.1,3.5
4975,63.5,4.4,64.1,5.3
4976,68.9,6.5,77,4.3
4977,79.4,4.5,81.1,3.4
5001,7.4,4.2,9.4,5.8
5002,13.6,6.1,17.7,5.4
5003,6.3,4.2,14.5,6.4
5004,9.1,5.9,13.2,5.5
5005,28.4,7.9,36.7,7.6
5007,2.9,2.4,0,3.8
5009,8.7,8.7,5.2,3.3
5012,2.3,2.5,7.3,4.6
5013,4.5,5.6,4.6,3.1
5014,1.4,1.7,5.6,4
5015,5,3,10.2,4.7
5017,0,6.8,4.4,4.1
5018,7.4,5,4.5,2.7
5021,74.4,6.7,73.9,6.3
5023,14.7,3.8,13.7,5.7
5024,8.1,3.3,11.5,4.8
5025,15.4,6.6,14,6.6
5026,15.2,6.3,17.3,8.1
5027,10.4,5.2,12.3,4.9
5028,3.2,3,6.4,3
5029,29.6,5.9,21.2,6.9
5030,6.2,4,3.9,2.9
5031,23.8,6.4,26.9,7.5
5033,13.9,6.7,13.8,6.1
5035,6.2,5.4,4.7,3.2
5037,5.2,3.8,12.5,4.4
5038,7.5,9.3,20.7,10.1
5039,7.8,3.7,14.7,4.2
5040,14.6,6.8,20.8,6.1
5041,9.5,8.1,10.1,5.5
5042,27.2,6.4,27.1,6
5043,13.1,6.4,5.8,4.5
5045,6.8,3.4,12.4,5.6
5048,13.5,5.1,17.6,6.4
5049,10.4,4.1,12.6,4
5101,19.7,5.7,19.9,5.3
5102,18,4.3,15,4.3
5103,7.7,3.1,11.5,4.4
5104,13.1,6,7.8,4.4
5105,36.6,6.3,25.5,5.6
5106,17.6,6.2,16.1,6.1
5107,17.5,5.2,16,4.1
5108,12.5,3.9,15.2,6
5109,30.9,8.2,24.7,6.4
5110,22.4,4.9,26.5,6.5
5111,25.2,6.2,29.7,6
5112,12.8,4.2,18.5,6.3
5113,13.6,5.1,18.2,5.3
5114,19.6,5.4,24.5,5.6
5141.01,40,7.4,38.5,5.7
5141.02,53.6,6.7,68.8,5.8
5142,25.7,7.6,29,6.7
5143,32.9,6.1,35.7,5.7
5144,26.7,5.1,24.9,5.1
5145,27,5,30.3,7.1
5146,19.2,6.2,22.5,6.7
5147,29.6,7.4,26.3,7
5148,15.2,4.9,16.3,6.4
5149,38.9,7.1,31.1,5.8
5150,51.8,6.9,43,6.1
5151.01,27.9,6.3,31.5,6
5151.02,41.1,6.4,52,8.1
5152,57.7,5.9,59,5.8
5201,60.1,6.3,60.9,6
5202.01,76.4,4.6,66.8,5.4
5202.02,67.3,5.2,65.1,5.5
5203.01,39.1,7.4,54.3,5.6
5203.02,48.7,6.3,44.3,5.4
5204,62.3,5.2,63.7,6.7
5205.01,64.3,7,67.8,6.4
5241,47.6,6.5,49.4,6.2
5242,36.9,5.9,47.4,5.7
5243,20.6,3.5,20.7,3.4
5244,7.2,4.7,3.9,2.5
5245.01,29.1,9.5,47.4,10.5
5245.02,47.2,8.9,39.8,9.3
5246,20.6,5.3,28.8,6.8
5247,17.7,5.9,9.9,6.3
9800,-,**,-,**
2501,47.7,5.1,56.9,5.2
2531,27.1,5.6,33.4,7.2
2532,41,5.3,39.2,6.3
2533,41.5,6.5,29.2,4.3
2534,38.3,6.3,48,6.9
2535,42.9,6.3,44.3,6.7
2536,28.6,9.8,29,7
2602,17.6,5,22.4,5
2611,58.5,7.4,59.6,7.5
2621,36.3,6.5,48.8,7.6
2632,61.4,6.1,53.8,6.1
2651,43.1,6.1,45.3,5.1
2661,46.1,7.8,46,6.6
2671,44.4,6.8,57.4,7.3
2681,55.1,7.3,62.1,4.9
2901,43,6.2,44.1,6.8
2931,29.7,4.7,29.3,6
2961,47.2,7.7,37.8,6.2
2983,28.3,6.4,31.6,6.2
2984,43.8,6.2,39.9,7.3
3001,33.5,6.5,44.3,7.3
3004,51.5,7,46.5,6.7
3005,42.1,4.6,36.4,5.6
3031,33.7,6,40.2,6.3
3061,39.3,5.8,46,6.9
3101,17.1,4.9,22.8,4.2
3102,9.3,3.9,13,4.7
3103,15,6.3,15,7.9
3104,20.7,5.5,17,5.4
3105,20,5.8,23,4.7
3106.01,28.4,5.4,39.3,7
3106.02,21.7,4.7,20.1,4.3
3107,25.7,5.9,28.1,5.5
3108.01,11.7,5.8,20,6.7
3108.03,14.2,4.3,21.6,6.7
3108.04,19.1,8.2,18.8,4.4
3201,14.6,4.2,19,5.1
3202,24.9,5.4,30.4,5.6
3421,36.9,6,40,5.9
3491,24.5,4.4,29.8,5.4
3492,25.2,6.2,19.2,5.2
3601,41.1,6.7,38.2,7.4
3602,45.5,5.9,40.2,5.2
3603,16.7,5.4,22.6,5.4
3604,19.5,5,22.2,4.7
3621.01,48.4,6.1,49.7,4.9
3621.02,48.2,6.4,46.6,5.6
4253,17,4.6,27.9,7.4
4254,20,5,25.3,4.2
4255,22,5.6,16.6,5.5
4256,40.1,3.9,42.4,3.9
5411,19.3,5.8,18.3,5.9
5412,39.4,7.2,41,6.8
5413,54.4,5.6,42.5,6
5414.01,40,5.2,43.5,5.5
5414.02,36.8,6,42.3,6.5
5415,34.8,20.1,48.5,8.8
5416,18.1,6.9,19.8,7.8
5417,13.9,5.2,28.6,7.6
5420,30.9,5.7,26.1,5.6
5421,24.7,5.6,35,7.7
5422,51,7.2,48.5,6.6
5501,38.2,6.6,42.5,6.5
5502.01,47.1,7.3,43.2,6.1
5502.02,35.5,7.2,26.9,4.8
5601,48.9,6.7,44.1,7.2
5602,27.6,4.3,29.1,6
5701,39.9,6.4,51.2,6.4
5702,44,6.8,47,5.4
5703,33.8,5.4,40.5,5.8
5801,35.5,5.4,39,5.5
5851,47.7,5.5,48.5,5.7
5901,43.2,5.6,46.2,5.1
5951.01,39.7,7.4,40,5.6
5951.02,32.9,6.4,29.9,6.5
6001,39.1,5,42.3,6.6
6101,36,6.9,38.5,5.6
6102,35.2,5.9,36.3,5.2
6103,35.6,7,36.7,4.3
6104,36.2,6.5,40.8,5.9
6201,33.8,6.2,37.8,4.3
6301,53.2,4.8,55.5,6.2
6401,51.7,5.5,47.7,5.1
6701,42.3,6.3,45.1,5.5
6702,46.4,6.1,40.4,5.8
6801,36,5.4,42.6,4.7
6802,30.9,4.7,32.6,6.6
9901,-,**,-,**
1201,31.1,6.3,29.9,4.9
1202,20.2,6.7,18,5.1
1251,17.9,4.2,25.8,4.9
1252,15.2,4.9,20.2,5
1253,15.9,5.3,15.7,4.7
1254,16.1,4.6,17.9,7.3
1301.01,23.8,6.5,25,4.8
1301.02,23.7,6.6,28.8,6.5
1302,29.2,5,38.4,6.1
1401,73.3,6.1,80.7,4.5
1402,5.8,3.9,12.7,6
1403,10.8,5.2,10.4,4.4
1404,8.6,3.2,18.6,6.4
1405,3.9,2.9,7.9,4.6
1406,11.5,4.4,13.6,4.5
1407,32.9,9,41.8,7.4
1408,20.6,9.3,10.6,4.6
1409,24.5,5.8,20.2,5.8
1410,65.8,7.6,63,9.5
1411,56.5,7.3,63.3,8.3
1412,26.6,6.1,28.3,5.2
1413,34,6.9,33.7,6.7
1414,30.7,6.3,41.4,8
1415,8,3.5,15.6,6.5
1416,17,4.6,18.2,5.6
1418,80.4,6.6,61.7,6.8
1419,89,4.3,82.5,4.7
1420,76.7,6.2,84.5,4.8
1421,37.7,12.4,36.4,8.2
1422,63.3,7.3,69.9,7.2
1423,13.4,3.6,14,4.7
1424,7.8,3.4,6.2,2.6
1425,9.3,3.4,9.4,4.1
1426.01,18.3,5.4,19.3,6.1
1426.03,16,5,11.3,4.3
1426.04,26.5,9.9,24.6,8.2
1427,25.1,7.3,16.2,5.7
1428,31,6.1,43.6,7.8
1501,41.1,6.1,53.2,8.5
1502,46.6,6.4,39.6,7.3
1503,27,5,36,6.5
1504,35.2,6.5,30.9,5.3
1505,36.8,6.2,40,4.7
1506,42.5,5.8,38.4,6.3
1507,35.1,4.7,45,4.2
1508,37.7,5.3,40,5.1
1509,52,6.3,45.8,6.3
1510,41.4,5.8,43.5,4.9
1511,46.3,4.7,45.5,5
1512,30.2,5.8,33.4,5.2
1541,19.6,4.2,26.8,5.4
1542,15.3,4.3,24.7,6.2
1545,21.3,5.1,23,7.8
1546,23.2,6.9,15,5.8
