Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
Bethel,1304,57,1310,170
Bridgeport,1046,22,1142,17
Brookfield,1470,198,1521,169
Danbury,1232,43,1404,40
Darien,"2,000+",***,2790,282
Easton,"2,000+",***,1845,638
Fairfield,1532,90,1841,104
Greenwich,1754,64,1889,66
Monroe,1673,287,1462,210
New Canaan,1859,235,2001,174
New Fairfield,1549,295,2180,270
Newtown,1147,142,1431,110
Norwalk,1300,41,1562,47
Redding,1345,245,1586,350
Ridgefield,1666,156,1601,176
Shelton,1100,62,1301,97
Sherman,1833,1026,2576,347
Stamford,1492,41,1704,38
Stratford,1115,60,1224,53
Trumbull,1873,368,1782,124
Weston,"2,000+",***,2560,1863
Westport,"2,000+",***,1836,196
Wilton,1849,419,2415,500
Avon,1356,106,1404,137
Berlin,1019,72,1118,46
Bloomfield,1242,102,1250,104
Bristol,887,30,950,30
Burlington,1288,777,980,293
Canton,1101,64,1099,92
East Granby,886,118,914,124
East Hartford,892,31,979,26
East Windsor,1067,47,1201,73
Enfield,997,37,1109,40
Farmington,1190,47,1277,70
Glastonbury,1181,68,1229,80
Granby,1173,627,909,205
Hartford,855,11,935,16
Hartland,1250,244,900,258
Manchester,1088,30,1181,26
Marlborough,1184,69,1162,158
New Britain,880,19,956,21
Newington,1104,39,1172,34
Plainville,920,62,995,54
Rocky Hill,1256,50,1337,39
Simsbury,1092,53,1241,94
Southington,1015,62,1042,52
South Windsor,1112,88,1128,78
Suffield,1070,93,1290,256
West Hartford,1140,33,1258,40
Wethersfield,965,67,1069,96
Windsor,1145,48,1195,54
Windsor Locks,896,60,1139,99
Barkhamsted,893,136,1121,566
Bethlehem,826,200,1016,455
Bridgewater,1264,333,1321,313
Canaan,694,68,983,229
Colebrook,775,457,1306,174
Cornwall,894,410,986,236
Goshen,1151,319,-,**
Harwinton,740,366,719,219
Kent,1549,378,963,368
Litchfield,1045,152,997,83
Morris,892,358,790,207
New Hartford,1094,210,938,110
New Milford,1134,77,1172,79
Norfolk,775,215,748,127
North Canaan,1095,117,1100,201
Plymouth,948,54,1029,79
Roxbury,1667,656,1346,204
Salisbury,1020,291,1168,149
Sharon,867,187,870,106
Thomaston,865,71,936,75
Torrington,840,26,896,35
Warren,1500,671,2181,193
Washington,1022,188,1336,182
Watertown,943,118,966,57
Winchester,917,107,1002,77
Woodbury,1097,133,1172,95
County subdivisions not defined,-,**,-,**
Chester,1143,111,1003,238
Clinton,1028,111,1201,134
Cromwell,1090,62,1199,119
Deep River,946,186,1131,92
Durham,1620,413,1131,66
East Haddam,1353,161,1061,87
East Hampton,983,196,1166,113
Essex,1271,200,1115,252
Haddam,905,116,880,79
Killingworth,-,**,1199,620
Middlefield,911,304,1284,576
Middletown,961,25,1094,28
Old Saybrook,1524,171,1529,152
Portland,951,127,1088,81
Westbrook,906,117,1217,88
County subdivisions not defined,-,**,-,**
Ansonia,1105,46,1026,58
Beacon Falls,1147,188,1225,197
Bethany,981,851,1141,219
Branford,1262,68,1296,63
Cheshire,1239,166,1186,86
Derby,1079,64,1131,68
East Haven,1125,48,1164,60
Guilford,1301,122,1386,186
Hamden,1235,37,1304,47
Madison,1135,76,1317,203
Meriden,936,25,978,20
Middlebury,478,408,1324,547
Milford,1396,65,1539,59
Naugatuck,964,46,1006,48
New Haven,1082,16,1137,16
North Branford,1183,120,1221,128
North Haven,1183,125,1263,108
Orange,1686,253,1580,213
Oxford,1490,230,1169,295
Prospect,930,178,1119,125
Seymour,999,55,1072,85
Southbury,1315,224,1494,165
Wallingford,1054,38,1081,31
Waterbury,883,18,924,19
West Haven,1054,30,1121,34
Wolcott,924,80,1119,157
Woodbridge,1419,250,1216,390
County subdivisions not defined,-,**,-,**
Bozrah,1071,185,967,59
Colchester,1092,89,1205,67
East Lyme,1236,106,1233,75
Franklin,1635,424,792,387
Griswold,893,69,979,52
Groton,1125,36,1183,41
Lebanon,993,217,913,586
Ledyard,1337,85,1134,51
Lisbon,886,158,1117,261
Lyme,1519,664,1568,351
Montville,989,88,1116,42
New London,892,35,950,38
North Stonington,1231,672,1112,114
Norwich,940,30,995,44
Old Lyme,1372,59,1222,124
Preston,1250,203,1157,246
Salem,1088,293,1319,353
Sprague,948,334,1135,70
Stonington,1097,59,1016,88
Voluntown,1014,142,1083,446
Waterford,1037,131,1143,75
Andover,792,227,840,69
Bolton,1208,316,1018,98
Columbia,1296,421,1085,355
Coventry,1234,199,1040,231
Ellington,1125,55,1163,97
Hebron,995,152,1072,355
Mansfield,1128,111,1150,77
Somers,1300,224,1160,134
Stafford,826,79,951,56
Tolland,1213,214,1571,213
Union,1358,113,1700,623
Vernon,954,36,1058,42
Willington,1078,91,1104,195
Ashford,1016,217,920,66
Brooklyn,903,135,956,99
Canterbury,732,79,1026,162
Chaplin,964,80,988,134
Eastford,863,137,830,36
Hampton,1108,75,1205,222
Killingly,812,51,918,64
Plainfield,993,90,832,90
Pomfret,900,53,894,240
Putnam,916,39,853,58
Scotland,1135,101,683,538
Sterling,891,129,961,473
Thompson,868,104,990,166
Windham,802,75,812,43
Woodstock,951,112,1069,399
101.01,"2,000+",***,1920,423
101.02,"2,000+",***,2125,1256
102.01,"2,000+",***,2045,271
102.02,"2,000+",***,2258,520
103,"2,000+",***,2094,447
104,1700,340,2289,163
105,1519,123,1829,149
106,1728,206,1824,125
107,1214,291,1312,331
108,1883,369,1714,142
109,"2,000+",***,2042,312
110,"2,000+",***,2712,374
111,"2,000+",***,1756,608
112,1841,127,2306,1693
113,1826,124,1865,114
201,898,184,1296,94
202,"2,000+",***,-,**
203,"2,000+",***,"3,500+",***
