Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
Bethel,353600,8479,333900,8357
Bridgeport,206300,6297,170300,2894
Brookfield,403400,17774,370000,13842
Danbury,317200,6392,289700,5668
Darien,"1,000,000+",***,1398600,88462
Easton,693400,28994,629200,23440
Fairfield,599300,11677,597900,13186
Greenwich,"1,000,000+",***,1217500,42295
Monroe,412700,17360,363400,13066
New Canaan,"1,000,000+",***,1439600,105075
New Fairfield,367600,10568,356600,12142
Newtown,446700,13108,403400,12640
Norwalk,440700,9069,421900,9811
Redding,622900,27385,597500,20732
Ridgefield,699900,21707,671700,19740
Shelton,360700,8132,341500,4854
Sherman,570100,38383,455800,29075
Stamford,537300,12518,516000,13764
Stratford,276200,4461,250700,5267
Trumbull,429100,9546,394600,6526
Weston,906900,39276,878600,33187
Westport,"1,000,000+",***,1152100,55214
Wilton,824600,24600,815500,25094
Avon,390900,17741,378000,10696
Berlin,297100,8421,281100,6704
Bloomfield,222700,8328,211300,8379
Bristol,211700,4011,190500,5015
Burlington,324700,12438,316200,19312
Canton,322300,18112,300700,19857
East Granby,274000,11810,288000,12490
East Hartford,184200,3753,159800,2889
East Windsor,232000,21070,204300,14279
Enfield,199900,4529,185000,2463
Farmington,338400,10052,327900,10998
Glastonbury,347200,6854,344100,8523
Granby,295300,12656,296800,13401
Hartford,178300,5307,162300,3972
Hartland,285800,10594,264200,9654
Manchester,206700,5146,182100,4034
Marlborough,303000,19043,314600,27384
New Britain,169900,2610,156800,2883
Newington,235300,4148,229900,4835
Plainville,209500,7897,205400,11259
Rocky Hill,273600,11853,264100,9070
Simsbury,342400,7563,327800,6407
Southington,270400,5603,271900,6504
South Windsor,276300,7335,281100,6826
Suffield,326300,15916,293300,11586
West Hartford,305600,5851,326000,5660
Wethersfield,266200,5730,250700,6812
Windsor,240800,5511,216500,5129
Windsor Locks,209800,7528,190400,4599
Barkhamsted,274500,15231,258500,17070
Bethlehem,365900,26238,353300,22329
Bridgewater,543500,52603,495000,36478
Canaan,317300,29338,334100,40770
Colebrook,293300,18004,262100,18509
Cornwall,446200,48211,439600,47166
Goshen,387000,41154,350800,18321
Harwinton,303700,23223,287900,13840
Kent,376700,21209,363700,34141
Litchfield,337700,17814,306200,18485
Morris,345400,22875,339000,16779
New Hartford,271800,18543,305400,22083
New Milford,324800,10400,289100,7704
Norfolk,321000,36923,326400,37381
North Canaan,234600,12924,194800,17863
Plymouth,216700,10168,193400,6549
Roxbury,653000,46305,595900,57425
Salisbury,517500,88199,418400,76829
Sharon,457700,66183,408500,52746
Thomaston,230300,14794,199400,14030
Torrington,183200,4444,160200,3699
Warren,386200,23631,368500,20918
Washington,551800,68601,465900,43828
Watertown,268500,6544,243000,9116
Winchester,195400,10011,164600,10109
Woodbury,371000,19753,350800,18912
County subdivisions not defined,-,**,-,**
Chester,293600,23004,358400,28084
Clinton,291000,7854,288000,8437
Cromwell,248100,8807,245000,10426
Deep River,282000,34302,274800,10145
Durham,350800,11800,337800,17629
East Haddam,303000,16485,268800,13168
East Hampton,273900,12842,261400,10818
Essex,414700,38966,360600,19330
Haddam,328000,12798,305400,22900
Killingworth,396400,24305,369200,18447
Middlefield,294500,14059,297500,20416
Middletown,237600,4993,228500,6823
Old Saybrook,401800,21341,373200,19202
Portland,298900,12715,244800,10196
Westbrook,345200,18804,378900,34961
County subdivisions not defined,-,**,-,**
